,BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
0,18-78200,Université de Corse,None,,,FRM02,Bâtiment Administratif Jean-Toussaint Desanti - 2e étage - Avenue du 9 septembre - BP 52,20250,Corte,,(+33) -04-95-45-01-99,,,marchepublic@univ-corse.fr,http://www.univ-corse.fr,http://www.klekoon.com,,,,,False,True,,False,True
1,19-162046,INRA Centre de Bordeaux Aquitaine,None,,,FR,71 avenue Edouard Bourlaux - CS20032,33882,Villenave d'Ornon Cedex,,,,,marches@inra.fr,https://www.marches-publics.gouv.fr,,,,,,False,True,,False,True
2,19-177494,CA QUIMPERLE COMMUNAUTE,None,,Guillaume RAGUIN,FRH02,1 rue andrei sakharov,29394,Quimperle,,(+33) 2-57-51-13-26,,,guillaume.raguin@quimperle-co.bzh,https://www.quimperle-communaute.bzh/,,,,,,False,True,,False,True
3,20-121271,ISAE SUPAERO,None,,,FRJ23,"10 avenue Edouard Belin, Cedex 4, BP 54032",31055,Toulouse,,,,,marches@isae.fr,http://www.isae.fr,https://www.marches-publics.gouv.fr,,,,,False,True,,False,True
4,20-128135,CROUS de Versailles,None,,,FR103,145 bis boulevard de la Reine,78000,Versailles,,,,,achat@crous-versailles.fr,http://www.crous-versailles.fr,https://www.achatpublic.com,,https://www.achatpublic.com,https://www.achatpublic.com,,False,True,,False,True
5,20-129071,Réseau Vauban,None,Mottet Julie,,,2 rue Mégevand,25034,Besançon cedex,,06-32-96-33-34,,,julie.mottet@besancon.fr,http://www.sites-vauban.org/,,,,,,False,False,,False,False
6,20-129797,CNAVTS de Paris,None,M. le directeur de la CNAV,,,"110 avenue de Flandre, 75019",75019,Paris,,,,,linsay.monville@cnav.fr,http://lassuranceretraite.fr,http://meoss.achatpublic.com,,,,,False,False,,False,False
7,20-130998,Conseil Départemental de l AVEYRON,None,,,FRJ22,Pole Aménagement du Territoire -Direction Batiments et des Collèges route du Monastère - cs10024,12450,FLAVIN,,,,,st.marches.admin@aveyron.fr,http://www.aveyron.fr,http://www.aveyron.fr,,http://www.aveyron.fr,http://www.aveyron.fr,,True,False,,False,True
8,20-136547,CNSMD de Paris,None,,,FR10,209 AVENUE JEAN JAURES,75019,PARIS,,,,,nmessaoudi@cnsmdp.fr,http://www.conservatoiredeparis.fr,http://www.marches-public.gouv.fr,,http://www.marches-public.gouv.fr,http://www.marches-public.gouv.fr,http://www.marches-public.gouv.fr,False,True,,False,True
9,20-138219,Cté de communes du pays de Mormal,None,,Service Commande Publique CCPM,FRE1,18 rue Chevray,59530,Le Quesnoy,,,,,pj.sanno@cc-paysdemormal.fr,http://www.cc-paysdemormal.fr/,https://marchespublics596280.fr,,,,,False,True,,False,True
10,20-140568,Mairie de LIEVIN,None,,,FRE12,"45, rue Edouard Vaillant",62800,Liévin,,(+33) 3-21-44-88-18,,,marchespublics@lievin.fr,http://www.lievin.fr,http://www.marches-securises.fr,,http://www.marches-securises.fr,http://www.marches-securises.fr,http://www.marches-securises.fr,True,False,,False,True
