,BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
0,19-84520,COMMUNE CLOYES LES TROIS RIVIERES,None,Monsieur le Maire,,,1 place Gambetta - Cloyes sur le Loir,28220,Cloyes les Trois Rivières,,(+33)2-37-98-53-18,,,marchespublics@cloyeslestroisrivieres.fr,,,,,,,False,False,,False,False
1,20-101050,COLLECTIVITE TERRITORIALE MARTINIQUE,None,M. le Président du conseil exécutif de la collectivité territoriale de la martinique,,,Rue Gaston Defferre - Cluny - CS 30137,97201,Fort-de-france,,(+33)05-96-59-63-00,,(+33)05-96-72-68-10,courrier@collectivitedemartinique.mq,http://www.collectivitedemartinique.mq,http://www.collectiviteterritorialedemartinique.achatpublic.com,,,,,False,False,,False,False
2,16-123407,SYDEC,None,Monsieur le Président,,,55 rue Martin Luther KingCS 70627,40006,Mont de Marsan Cedex,,,,,,,,,,,,False,False,,False,False
3,20-103108,Communauté d'Agglomération du Sud,None,"Direction de la Commande Publique, à l'attention de M. Le Président,",,,379 Rue Hubert DelisleBP 437,97838,Le tampon cedex,,,,,juridique@casud.re,,https://casud.achatpublic.com,,,,,False,False,,False,False
4,20-106726,SEVADEC,None,M. le Président,,,583 rue Jacques Monod - BP20,62101,CALAIS Cedex,,03-21-19-58-30,,03-21-36-58-41,sevadec@wanadoo.fr,http://www.sevadec.fr,http://www.marches-securises.fr,,,,,False,False,,False,False
5,20-112578,COMMUNE D'ETRECHET,None,DESCOURAUX Marc,,,rue sully,36120,etrechet,,02-54-26-98-17,,,mairie.etrechet@wanadoo.fr,,,,,,,False,False,,False,False
6,20-124973,DEPARTEMENT DU MORBIHAN,None,,DGFiM - DCP - service des marchés,FRH04,"2, rue Saint Tropez - CS 82400",56009,Vannes cedex,,,,,dfg.marches@morbihan.fr,https://www.morbihan.fr,https://marches.megalis.bretagne.bzh,,https://marches.megalis.bretagne.bzh,https://marches.megalis.bretagne.bzh/,,False,True,,False,True
7,20-129334,IMSA,None,,"Cellule Marchés Publics,",FRJ28,Avenue du Clos Maury  CS 40217,82002,Montauban,,(+33) 5-63-68-47-52,,(+33) 5-63-68-49-49,marchespublics.grprec@imsa.msa.fr,http://informatique.msa.fr,https://msa.achatpublic.com,,,,,False,True,,False,True
8,20-130159,Cté d'agglomération du Bassin de Thau,None,,,FRJ13,"4, Avenue d'Aigues BP 600",34110,FRONTIGNAN,,(+33) 4-67-46-47-41,,(+33) 4-67-46-47-65,correspondre@aws-france.com,http://www.thau-agglo.fr/,http://www.agglopole.fr/,,,,,False,False,,False,False
9,20-132628,Ville d'Avignon,None,,,FRL06,Hôtel de Ville - Place de l'Horloge,84045,Avignon cedex 09,,(+33) 4-90-80-83-14,,,commande.publique@mairie-avignon.com,http://www.avignon.fr,https://avignon-marchespublics.omnikles.com/,,https://avignon-marchespublics.omnikles.com/,https://avignon-marchespublics.omnikles.com/,,False,True,,False,True
