BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
19-181591,GALLICE 21,None,,,FRL03,47 Boulevard Baudoin Pointe du Crouton,06160,JUAN LES PINS,,(+33) 6-20-33-28-89,,,marches.port-gallice@gallice21.com,https://demat.centraledesmarches.com/7061883,,,,https://demat.centraledesmarches.com/7061883,https://demat.centraledesmarches.com/7061883,False,False,,False,False
20-150049,Préfecture de Police,None,,,FR101,1 bis rue de Lutèce,75195,Paris Cedex 04,,(+33) 1-70-22-26-47,,(+33) 1-70-22-25-50,prefpol.marchespublics-scp@interieur.gouv.fr,http://www.prefecture-police-paris.interieur.gouv.fr/,https://m13.paris.fr/,,,,,False,True,,False,True
20-88639,Commune de Saint-Genis-Laval,None,Mme La Maire,,,106 avenue Clémenceau BP80,69565,Saint Genis Laval cedex,,04-78-86-82-00,,,commande.publique@mairie-saintgenislaval.fr,http://www.saintgenislaval.fr,http://www.grandlyon.marches-publics.info/saint-genislaval,,,,,False,False,,False,False
21-101259,RPA DREAL Languedoc-R - Midi-Pyrenées,None,,DMORN,FRJ23,1 rue de la cité administrative,31074,Toulouse,,,,,dmorn.dt.dreal-occitanie@developpement-durable.gouv.fr,http://www.occitanie.developpement-durable.gouv.fr,http://www.marches-publics.gouv.fr,,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,,False,True,,False,True
21-101951,Ville de Nantes,None,,https://marchespublics.nantesmetropole.fr,FRG01,2 cours du Champ de Mars,44923,NANTES,,,,,sylviane.pinier@nantesmetropole.fr,https://metropole.nantes.fr/,https://marchespublics.nantesmetropole.fr,,,,,False,False,,False,False
21-102830,Commune de Sallaumines,None,,,FRE12,,None,Sallaumines,,,,,contact@ville-sallaumines.fr,http://www.ville-sallaumines.fr,http://www.ville-sallaumines.fr,,http://www.ville-sallaumines.fr,http://www.ville-sallaumines.fr,,False,True,,False,True
21-108726,Ville de Caussade,None,Le Maire,,,Place du Général de GaulleBP 19,82303,Caussade Cedex,,05-63-65-09-05,,,commandepublique@mairie-caussade.com,,http://www.marchespublics82.com,,,,,False,False,,False,False
21-109240,Ville d'Aulnay-sous-Bois,None,,Monsieur Bruno BESCHIZZA,FR106,1 Place de l'Hotel de Ville,93600,Aulnay-sous-bois,,(+33) 1-48-79-64-81,,,marches-publics@aulnay-sous-bois.com,http://www.aulnay-sous-bois.fr,http://www.achatpublic.com,,,,,False,False,,False,False
21-109434,SDIS de L'Ain,None,,,FRK21,200 avenue du Cne Dhonne,01000,Bourg en bresse,,,,,achats.em@sdis01.fr,https://www.sdis01.fr,https://marchespublics.ain.fr,,https://marchespublics.ain.fr,https://marchespublics.ain.fr,,True,False,,False,True
21-111097,Grand Port Maritime de Bordeaux,None,,,FRI12,152 quai de Bacalan  CS41320,33082,Bordeaux Cedex,,,,,postoffice@bordeaux-port.fr,http://www.bordeaux-port.fr,https://marches.bordeaux-port.fr,,,,,False,True,,False,True
