,BOAMP_AVIS_NUM,D_03_01_Typepouvoiradjudicateur_Minautoritenationale,D_03_02_Typepouvoiradjudicateur_Agencenational,D_03_03_Typepouvoiradjudicateur_Autotriteregional,D_03_04_Typepouvoiradjudicateur_Agenceregional,D_03_05_Typepouvoiradjudicateur_Orgdroitpublic,D_03_06_Typepouvoiradjudicateur_Institutioneuropeenne,D_03_07_Typepouvoiradjudicateur_Autre
0,18-111639,False,False,True,False,False,False,
1,19-138840,True,False,False,False,False,False,
2,20-105937,False,False,True,False,False,False,
3,20-114622,True,False,False,False,False,False,
4,20-117134,False,False,True,False,False,False,
5,20-117935,True,False,False,False,False,False,
6,20-119688,False,False,False,False,True,False,
7,20-123123,False,False,True,False,False,False,
8,20-124569,True,False,False,False,False,False,
9,20-126238,False,False,False,True,False,False,
10,20-135729,False,False,False,False,True,False,
11,20-137108,False,False,True,False,False,False,
12,20-138546,False,False,False,False,False,False,Organisme de droit privé de la MSA
13,20-138556,True,False,False,False,False,False,
14,20-139239,False,False,True,False,False,False,
15,20-139528,False,False,False,False,True,False,
16,20-139556,False,False,False,False,True,False,
17,20-140025,True,False,False,False,False,False,
18,20-140222,False,False,False,False,False,False,Organisme de droit privé de la MSA
19,21-12751,False,False,True,False,False,False,
20,20-142373,True,False,False,False,False,False,
21,20-143081,False,False,True,False,False,False,
22,20-143265,False,False,True,False,False,False,
23,20-143588,False,False,True,False,False,False,
24,20-143758,False,False,True,False,False,False,
25,20-144268,False,False,False,False,False,False,Collectivité territoriale
26,20-144397,False,False,False,False,False,False,EPS
27,20-146528,True,False,False,False,False,False,
28,20-146531,True,False,False,False,False,False,
29,20-146730,False,False,True,False,False,False,
30,20-147111,True,False,False,False,False,False,
31,20-148446,False,False,False,False,True,False,
32,20-148497,False,False,True,False,False,False,
33,20-148507,False,False,False,False,True,False,
34,20-149102,False,False,True,False,False,False,
35,20-149140,False,False,False,False,False,False,collectivité territoriale de la Martinique
36,20-149233,False,False,True,False,False,False,
37,20-149323,False,False,True,False,False,False,
38,20-149438,False,False,True,False,False,False,
39,20-149446,False,False,False,False,False,False,Etablissement de santé
40,20-150629,True,False,False,False,False,False,
41,20-151585,False,False,False,False,False,False,GIP
42,20-151661,True,False,False,False,False,False,
43,20-151728,False,False,False,False,False,False,collectivité territoriale
44,20-151733,True,False,False,False,False,False,
45,20-152252,False,False,True,False,False,False,
46,20-152537,False,False,True,False,False,False,
47,20-152655,False,False,True,False,False,False,
48,20-152782,False,False,True,False,False,False,
49,20-152889,False,False,False,False,True,False,
50,20-153497,False,False,True,False,False,False,
51,20-153710,False,False,False,False,True,False,
52,20-154300,False,False,False,False,True,False,
53,20-154864,False,False,False,False,False,False,Etablissement public
54,20-155737,False,False,False,False,False,False,organisme privé gérant des fonds publics
55,20-156023,False,False,False,False,True,False,
56,20-157522,False,False,False,False,True,False,
57,20-157598,False,False,False,False,False,False,Etablissement public de coopération intercommunale
58,20-157878,False,False,True,False,False,False,
59,20-158804,False,False,True,False,False,False,
60,20-159182,False,False,True,False,False,False,
61,20-159238,False,False,True,False,False,False,
62,20-159405,False,False,True,False,False,False,
63,20-52597,False,False,True,False,False,False,
64,20-56790,True,False,False,False,False,False,
65,20-86437,False,False,True,False,False,False,
66,20-97388,False,False,True,False,False,False,
67,21-1007,True,False,False,False,False,False,
68,21-10163,False,False,False,False,False,False,EPCI
69,21-10233,False,False,True,False,False,False,
70,21-10243,True,False,False,False,False,False,
71,21-10253,False,False,True,False,False,False,
72,21-10282,True,False,False,False,False,False,
73,21-10381,True,False,False,False,False,False,
74,21-10619,False,False,False,True,False,False,
75,21-10637,False,False,False,False,False,False,EPCI
76,21-10686,False,False,False,False,False,False,Syndicat
77,21-10714,False,False,True,False,False,False,
78,21-10727,False,False,False,False,False,False,Établissement public de santé
79,21-10734,False,False,True,False,False,False,
80,21-10775,False,False,False,False,False,False,EPCI
81,21-10797,True,False,False,False,False,False,
82,21-10810,False,False,True,False,False,False,
83,21-10825,True,False,False,False,False,False,
84,21-10827,True,False,False,False,False,False,
85,21-10925,False,False,False,False,False,False,Société publique locale
86,21-10945,True,False,False,False,False,False,
87,21-10953,False,False,True,False,False,False,
88,21-10970,False,False,False,False,False,False,EPST
89,21-11083,True,False,False,False,False,False,
90,21-11180,False,False,False,False,False,False,Etablissement public de santé
91,21-11271,False,False,True,False,False,False,
92,21-11346,False,False,True,False,False,False,
93,21-11352,False,False,False,False,False,False,Établissement public de santé
94,21-11396,False,False,True,False,False,False,
95,21-11438,True,False,False,False,False,False,
96,21-11468,False,False,True,False,False,False,
97,21-11563,False,False,True,False,False,False,
98,21-11586,True,False,False,False,False,False,
99,21-11732,False,False,False,False,True,False,
100,21-11752,False,False,True,False,False,False,
101,21-11765,False,False,False,False,True,False,
102,21-11832,False,False,False,False,False,False,Etablissement public social et médico-social
103,21-11916,False,False,True,False,False,False,
104,21-12108,False,False,False,False,False,False,Etablissement public de santé
105,21-12135,False,False,True,False,False,False,
106,21-12140,False,False,True,False,False,False,
107,21-12241,False,False,True,False,False,False,
108,21-12379,False,False,False,False,True,False,
109,21-12413,False,False,True,False,False,False,
110,21-12502,False,False,True,False,False,False,
111,21-12503,False,False,False,False,True,False,
112,21-12579,False,False,True,False,False,False,
113,21-12691,True,False,False,False,False,False,
114,21-12692,False,False,True,False,False,False,
115,21-12724,True,False,False,False,False,False,
116,21-12735,False,False,True,False,False,False,
117,21-12759,False,False,False,False,False,False,Etablissement public administratif
118,21-12832,True,False,False,False,False,False,
119,21-12862,False,False,True,False,False,False,
120,21-12941,False,False,True,False,False,False,
121,21-12947,True,False,False,False,False,False,
122,21-12962,False,False,True,False,False,False,
123,21-13000,False,False,False,False,False,False,CCAS
124,21-13025,False,False,False,False,False,False,"Services de chemin de fer urbain, de tramway, de trolleybus ou d'autobus"
125,21-13061,False,False,True,False,False,False,
126,21-13096,False,False,True,False,False,False,
127,21-13140,False,False,True,False,False,False,
128,21-13185,False,False,True,False,False,False,
129,21-13192,False,False,False,False,True,False,
130,21-13196,False,False,False,False,True,False,
131,21-13203,False,False,False,False,True,False,
132,21-13209,False,False,False,False,True,False,
133,21-13223,False,False,True,False,False,False,
134,21-13303,False,False,True,False,False,False,
135,21-13347,False,False,False,False,False,False,SOCIETE PUBLIQUE LOCALE
136,21-13392,False,False,True,False,False,False,
137,21-13468,True,False,False,False,False,False,
138,21-13471,False,False,True,False,False,False,
139,21-13474,False,False,True,False,False,False,
140,21-13486,True,False,False,False,False,False,
141,21-13488,False,False,True,False,False,False,
142,21-13606,False,False,True,False,False,False,
143,21-17783,True,False,False,False,False,False,
144,21-13751,False,False,True,False,False,False,
145,21-13766,True,False,False,False,False,False,
146,21-13768,False,False,True,False,False,False,
147,21-13788,True,False,False,False,False,False,
148,21-13822,False,False,True,False,False,False,
149,21-13865,False,False,False,False,True,False,
150,21-13926,False,False,False,False,True,False,
151,21-13953,True,False,False,False,False,False,
152,21-14053,False,False,True,False,False,False,
153,21-14063,False,False,True,False,False,False,
154,21-14065,False,False,True,False,False,False,
155,21-14076,False,False,False,False,True,False,
156,21-14077,False,False,False,False,False,False,établissement public de santé
157,21-14080,True,False,False,False,False,False,
158,21-14081,False,False,True,False,False,False,
159,21-14082,False,False,True,False,False,False,
160,21-14084,False,False,True,False,False,False,
161,21-14087,False,False,False,False,True,False,
162,21-14088,True,False,False,False,False,False,
163,21-14091,False,False,False,False,True,False,
164,21-14093,False,False,True,False,False,False,
165,20-142264,False,False,True,False,False,False,
166,21-14097,False,False,False,False,True,False,
167,21-14107,False,False,True,False,False,False,
168,21-14108,False,False,False,False,True,False,
169,21-14109,False,False,True,False,False,False,
170,21-14112,False,False,False,False,False,False,Régime général de la sécurité sociale
171,21-14113,False,False,False,False,False,False,COLLECTIVITE TERRITORIALE
172,21-14118,True,False,False,False,False,False,
173,21-14125,False,False,True,False,False,False,
174,21-14126,True,False,False,False,False,False,
175,21-14128,False,False,False,False,False,False,Établissement public de coopération intercommunale
176,21-14129,True,False,False,False,False,False,
177,21-14131,False,False,False,False,False,False,Organisme privé de sécurité sociale
178,21-14133,False,False,False,False,True,False,
179,21-14134,False,False,False,False,False,False,Organisme consulaire
180,21-14135,False,False,False,False,False,False,Etablissement public de santé
181,21-14137,True,False,False,False,False,False,
182,21-14145,False,False,False,False,True,False,
183,21-14146,False,False,True,False,False,False,
184,21-14148,False,False,False,False,False,False,SCIC EVOLEA
185,21-14151,False,False,False,False,False,False,Régime général de la sécurité sociale
186,21-14153,False,False,True,False,False,False,
187,21-14155,False,False,True,False,False,False,
188,21-14159,False,False,False,False,False,False,Régime général de la sécurité sociale
189,21-14160,False,False,True,False,False,False,
190,21-14167,False,False,False,False,True,False,
191,21-14168,False,False,True,False,False,False,
192,21-14170,False,False,False,False,True,False,
193,21-14172,False,False,True,False,False,False,
194,21-14173,False,False,False,False,False,False,Régime général de la sécurité sociale
195,21-14175,False,False,False,False,True,False,
196,21-14177,False,False,True,False,False,False,
197,21-14181,False,False,False,False,False,False,Logement social
198,21-14182,False,False,True,False,False,False,
199,21-14185,False,False,False,False,False,False,Collectivité publique
200,21-14192,False,False,False,False,True,False,
201,21-14194,False,False,True,False,False,False,
202,21-14196,False,False,True,False,False,False,
203,21-14204,True,False,False,False,False,False,
204,21-14205,False,False,True,False,False,False,
205,21-14206,False,False,False,False,True,False,
206,21-14207,False,False,False,False,False,False,Logement social
207,21-14212,False,False,True,False,False,False,
208,21-14217,False,False,True,False,False,False,
209,21-14219,False,False,True,False,False,False,
210,21-14223,False,False,True,False,False,False,
211,21-14225,False,False,True,False,False,False,
212,21-14226,False,False,True,False,False,False,
213,21-14230,False,False,True,False,False,False,
214,21-14234,False,False,True,False,False,False,
215,21-14236,False,False,False,False,False,False,santé
216,21-14237,False,False,False,False,True,False,
217,21-14238,False,False,False,False,False,False,autre
218,21-14239,False,False,False,False,True,False,
219,21-14240,False,False,True,False,False,False,
220,21-14241,False,False,True,False,False,False,
221,21-14242,False,False,True,False,False,False,
222,21-14245,False,False,False,False,True,False,
223,21-14246,False,False,True,False,False,False,
224,21-14247,False,False,True,False,False,False,
225,21-14249,False,False,True,False,False,False,
226,21-14253,False,False,False,False,True,False,
227,21-14254,False,False,False,False,True,False,
228,21-14255,False,False,True,False,False,False,
229,21-14256,False,False,False,False,True,False,
230,21-14258,False,False,False,False,False,False,collectivité territoriale
231,21-14267,False,False,True,False,False,False,
232,21-14269,False,False,False,False,True,False,
233,21-14270,False,False,True,False,False,False,
234,21-14271,False,False,False,False,False,False,Société Publique Locale BMa SPL
