BOAMP_AVIS_NUM,D_12_01_Conditionrelativemarche_Cautionnement,D_12_02_Conditionrelativemarche_Financement,D_12_03_Conditionrelativemarche_Formejuridique,D_12_04_Conditionrelativemarche_Participationelectroniqueoui,D_12_05_Conditionrelativemarche_Participationelectroniquenon,D_12_06_Conditionrelativemarche_Autresconditionspartoui,D_12_07_Conditionrelativemarche_Autresconditionspartnon,D_12_08_Conditionrelativemarche_Unitemonetaireeur,D_12_09_Conditionrelativemarche_Francaisseul,D_12_10_Conditionrelativemarche_Langues,D_12_10_01_Conditionrelativemarche_Langues_Langue,D_12_10_02_Conditionrelativemarche_Langues_Autres
21-341,"Chaque acompte fera l'objet d'une retenue de garantie au taux de 5 % dans les conditions prévues aux articles R.2191-33 et suivants du Code de la Commande publique. La retenue de garantie peut être remplacée, au gré du titulaire par une garantie à première demande dans les conditions prévues aux articles R.2191-33 est suivants du Code de la Commande publique.","Le budget de la ville financera les dépenses afférentes au marché. La ville ne percevra pas de subventions pour le financement de la prestation, objet du marché.Le règlement, après constatation du service fait, est effectué par virement avec mandatement administratif dans le délai global de paiement en vigueur à compter de la présentation de la demande de paiement. Le défaut de paiement dans ce délai fait courir de plein droit des intérêts moratoires au bénéfice du titulaire et du sous-traitant de premier rang, au taux d'intérêt de la principale facilité de refinancement appliquée par la banque centrale européenne à son opération de refinancement principal la plus récente effectuée avant le premier jour de calendrier du semestre de l'année civile au cours duquel les intérêts moratoires ont commencé à courir, majoré de huit (8) points.Les intérêts moratoires courent à partir du jour suivant l'expiration du délai global jusqu'à la date de mise en paiement du principal incluse.Par ailleurs, le défaut de paiement dans ce délai entraîne également de plein droit, au bénéfice du titulaire, le paiement d'une indemnité forfaitaire de 40 euro(s) pour frais de recouvrement.","La forme juridique du groupement choisie pourra être le groupement d'entreprises solidaire ou conjoint. Le groupement pourra être conjoint à la condition que les membres du groupement s'engagent à exécuter des prestations détaillées et précisées dans le contrat et que le mandataire du groupement soit solidaire de chacun des membres du groupement pour ses obligations contractuelles à l'égard de la personne publique.La personne publique interdit aux candidats de présenter leurs offres en qualité de candidat individuel et de membre d'un ou de plusieurs groupements.La composition du groupement ne pourra être modifiée entre la date de remise des plis et la date de signature du marché public. Toutefois, si le groupement apporte la preuve qu'un de ses membres est mis en liquidation judiciaire, ou qu'il se trouve dans l'impossibilité d'accomplir sa tâche pour des raisons qui ne sont pas de son fait, il peut demander au pouvoir adjudicateur l'autorisation de continuer à la procédure de passation sans cet opérateur défaillant, en proposant, le cas échéant, à l'acceptation du pouvoir adjudicateur, un ou plusieurs sous-traitants. Le pouvoir adjudicateur se prononce sur cette demande après examen de la capacité professionnelle, technique et financière de l'ensemble des membres du groupement ainsi transformé et, le cas échéant, des sous-traitants présentés à son acceptation.",False,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-3410,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-3413,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-3414,"Le titulaire peut fournir une garantie à première demande en remplaçant l'application de la retenue de garantie.Si le titulaire souhaite percevoir une avance, il aura à produire une garantie bancaire à première demande.",Le financement de l'opération sera assuré par :- des subventions ETAT (BOP et DETR)- les fonds propres de la Commune de MACOURIA,"En cas de groupement, le pouvoir adjudicateur se réserve le droit de contrariante le groupement, a revêtir la forme d'un groupement conjoint avec mandataire solidaire.",False,False,,False,True,False,CF_NIV_SUIV,['FR'],
21-3415,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-3418,,Financement propre,,False,False,,False,True,False,CF_NIV_SUIV,,
21-3422,"Retenue de garantie de 5,0 %, qui peut être remplacée par une garantie à première demande. Garantie à première demande couvrant 100,0 % du montant de l'avance.","Prestations réglées par des prix unitaires Prix actualisables. Avance de 30,0 % accordée dans les conditions prévues au contrat. Délai global de paiement des prestations de 30 jours. Modalités de financement des prestations: Fonds propres de la Collectivité européenne d'Alsace.",Aucune forme de groupement imposée à l'attributaire du marché. Interdiction de présenter plusieurs offres en agissant à la fois en qualité de candidats individuels et de membres d'un ou plusieurs groupements ou en qualité de membres de plusieurs groupements.,False,False,"Consultation comportant des conditions d'exécution à caractère social détaillées dans le CCAP.Le délai d'exécution de l'ensemble des travaux comprend, outre la réalisation des travaux et études nécessaires à celle-ci, le repliement des installations de chantier et la remise en état des lieux. Il est prévu une période de préparation des travaux de 30 jours qui débute à compter de la date fixée par ordre de service au titulaire du lot concerné. La période de préparation est comprise dans le délai global d'exécution des travaux proprement dits qui est de 7 mois. Les modalités de l'exécution propre à chaque lot s'articulent selon les indications portées sur le planning prévisionnel des travaux joint au Dossier de Consultation des Entreprises. Un ordre de service sera délivré en temps utile au titulaire prescrivant de commencer les travaux. Le délai d'exécution des travaux pour le lot précité est de 77 jours. A titre indicatif, la date prévisionnelle de début des prestations est prévue semaine 2 en 2021.",False,True,False,CF_NIV_SUIV,['FR'],
21-3423,,Fonds propres,,False,False,,True,True,False,CF_NIV_SUIV,['FR'],
21-3426,"En cas de versement d'une avance, le titulaire devra fournir la garantie à première demande prévue à l'article R2191-7 du Code de la Commande Publique et couvrant 100 % du montant de l'avance","- Articles R2191-1 à R2191-63 du Code de la Commande Publique- Modalités de financements : Les ressources qui seront mobilisées pour financer l'opération sont constituées par les fonds propres du SYTRAL.- Les prix sont révisables dans les conditions fixées par le Cahier des Clauses Administratives Particulières.- Caractéristique des prix : Prix global et forfaitaire- L'avance est accordée en une seule fois sur la base du montant du marché dans les conditions des articles R2191-3 à R2191-12 du Code de la Commande Publique.- Modalité de règlement des comptes : selon les modalités du CCAG-PI et du CCAP- Les paiements seront effectués par virement administratif dans le délai réglementaire de 30 jours, selon les dispositions des articles R2192-10 à R2192-36 du Code de la Commande Publique. Le point de départ du délai est la réception de la demande par les services de l'Entité adjudicatrice","La candidature sera présentée par un seul candidat ou par un groupement.En cas de groupement, il est nécessaire pour la bonne exécution du marché que le groupement prenne la forme d'un groupement conjoint avec mandataire solidaire après attribution.La forme en groupement conjoint se justifie par la diversité des compétences demandées et des missions exigées qui restent très spécialisées. Chacun des cotraitants, doit se trouver ainsi engagé que pour la partie du marché public qu'il exécute. La responsabilité du mandataire permet de garantir la bonne exécution de la globalité des prestations et ainsi en cas de défaillance d'un cotraitant, proposer au maître d'ouvrage les solutions pour y remédier.Les candidats n'ont pas la possibilité de soumissionner en agissant à la fois en qualité de candidat individuel et de membre d'un ou plusieurs groupement(s). La participation à plusieurs groupements, pour un même lot, est également interdite",False,False,,False,True,False,CF_NIV_SUIV,['FR'],
21-3427,,,,False,False,,False,True,True,CF_NIV_SUIV,,
