BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
19-158153,Ville de Venette,None,Monsieur le Maire,,,74 rue de la république,60280,venette,,,,,,,https://marches-agglo-compiegne.safetender.com,,,,,False,False,,False,False
20-10783,Aéroport de Bâle-Mulhouse,None,,,FRF12,Établissement public franco-suisse  - BP 60120,68304,Saint-louis cedex,,(+33) 3-89-90-31-11,,,sma@euroairport.com,http://www.euroairport.com,https://www.marches-securises.fr/,,http://www.marches-securises.fr,http://www.marches-securises.fr,,False,True,,False,True
20-117074,COMMUNE BAVAY,None,Mme Rocher,,,Place charles de gaulle,59570,Bavay,,03-27-63-06-74,,03-27-63-13-42,dgs@bavay.com,,https://marchespublics596280.fr,,,,,False,False,,False,False
20-134165,Métropole de Lyon,None,,,FRK26,Délégation Solidarités Habitat Education Direction Ressources Service de la commande publique CS 33569,69505,Lyon cedex 03,,,,,dshe_commande_publique@grandlyon.com,http://marchespublics.grandlyon.com,http://marchespublics.grandlyon.com,,http://marchespublics.grandlyon.com,http://marchespublics.grandlyon.com,,False,True,,False,True
20-147530,Région Guadeloupe,None,,,FRY10,Avenue Paul Lacavé - Petit Paris,97100,Basse-Terre,GP,(+59)0- 5-90-80-40-40,,,dcp-region@cr-guadeloupe.fr,http://www.regionguadeloupe.fr,http://www.eguadeloupe.com,,http://www.eguadeloupe.com,https://www.eguadeloupe.com,,False,True,,False,True
20-67207,COMMUNE CLOYES LES TROIS RIVIERES,None,Monsieur le Maire,,,"1, place Gambetta Cloyes sur le Loir",28220,Cloyes Les Trois Rivières,,02-37-98-53-18,,,marchespublics@cloyeslestroisrivieres.fr,,,,,,,False,False,,False,False
20-71566,COMMUNE CLOYES LES TROIS RIVIERES,None,Monsieur le Maire,,,1 place Gambetta Cloyes sur le Loir,28220,Cloyes les Trois Rivières,,02-37-98-53-18,,,marchespublics@cloyeslestroisrivieres.fr,,,,,,,False,False,,False,False
21-100062,CDG 30,28300002400028,,,FRJ12,"183 chemin du mas coquillard, à l'attention de Monsieur le Président",30900,Nîmes,,(+33) -04-66-38-86-86,,(+33) -04-66-38-86-87,julien.bono@cdg30.fr,http://www.cdg30.fr,http://www.klekoon.fr,,https://www.klekoon.com/detail-consultation/83373/1,https://www.klekoon.com/detail-consultation/83373/1,,False,True,,False,True
21-100129,Union des Groupements d'Achats Publics,TVAFR51776056467,,Direction des achats - département des achats bio médicaux - à l'attention de Vincent LEBOURHIS,FR102,"1, Boulevard Archimède - Champs sur Marne",77444,Marne-la-vallée Cedex 2,,(+33) 1-64-73-21-85,,,vlebourhis@ugap.fr,http://www.ugap.fr,http://www.marches-publics.gouv.fr,,,,,False,True,,True,False
21-100534,RPA DREAL Languedoc-R - Midi-Pyrenées,None,,DMORN,FRJ23,1 rue de la cité administrative,31074,Touolouse,,,,,dmorn.dt.dreal-occitanie@developpement-durable.gouv.fr,http://www.occitanie.developpement-durable.gouv.fr,http://www.marches-publics.gouv.fr,,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,,True,False,,False,True
