,BOAMP_AVIS_NUM,D_12_01_Conditionrelativemarche_Cautionnement,D_12_02_Conditionrelativemarche_Financement,D_12_03_Conditionrelativemarche_Formejuridique,D_12_04_Conditionrelativemarche_Participationelectroniqueoui,D_12_05_Conditionrelativemarche_Participationelectroniquenon,D_12_06_Conditionrelativemarche_Autresconditionspartoui,D_12_07_Conditionrelativemarche_Autresconditionspartnon,D_12_08_Conditionrelativemarche_Unitemonetaireeur,D_12_09_Conditionrelativemarche_Francaisseul,D_12_10_Conditionrelativemarche_Langues,D_12_10_01_Conditionrelativemarche_Langues_Langue,D_12_10_02_Conditionrelativemarche_Langues_Autres
0,11-116542,Aucune clause de garantie financière ne sera appliquée sauf dans le cas d'une demande d'avance.Le montant de l'avance sera garanti à 100%.,Les règles de la comptabilité publique s'appliquent. Le délai global de paiement est de 30 jours à compter de la date de réception de la facture ou de la demande de paiement équivalente.,Aucune forme de groupement n'est imposé aux candidats.,False,False,,True,True,False,CF_NIV_SUIV,,
1,19-141762,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
2,19-170952,,,,False,True,,False,False,False,CF_NIV_SUIV,['FR'],
3,19-174419,,,,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
4,19-180078,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
5,19-80673,,,,False,False,,False,True,True,CF_NIV_SUIV,,
6,19-99055,,,,False,False,,False,True,True,CF_NIV_SUIV,,
7,20-101180,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
8,20-106702,,,,True,False,,False,False,False,CF_NIV_SUIV,['FR'],
9,20-106925,"Le marché prévoit une retenue de garantie de 5% prélevée sur tous les règlements du marché, elle pourra être remplacée par une garantie à première demande.Il prévoit une GPA de 12 mois.",Financement sur les crédits budgétaires alloués à l'APIJ - Paiement au compte du titulaire par virement à 30 jours maximum conformément au décret no2013-269 du 23 mars 2013. Il est prévu le versement d'une avance et d'acomptes en fonction de l'avancement des travaux.,Candidat unique ou groupement conjoint avec mandataire solidaire ou groupement solidaire,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
10,20-113152,,,,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
