,BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
5329,21-33208,COMMUNE D OYONNAX,None," PERRAUD Michel, Maire",,,126 RUE ANATOLE FRANCE BP 817,01100,OYONNAX,,04-74-77-00-06,,04-74-77-18-60,correspondre@aws-france.com,http://www.oyonnax.fr,http://agysoft.marches-publics.info/,,,,,False,False,,False,False
5330,21-33209,COMMUNE D OYONNAX,None," PERRAUD Michel, Maire",,,126 RUE ANATOLE FRANCE BP 817,01100,OYONNAX,,04-74-77-00-06,,04-74-77-18-60,correspondre@aws-france.com,http://www.oyonnax.fr,http://agysoft.marches-publics.info/,,,,,False,False,,False,False
5331,21-33211,SDEG 68,None,"M. Alain SPECHT, Directeur Adjoint",,,11 rue du 1er Cuirassiers,68000,Colmar,,03-89-21-11-60,,03-89-21-11-61,,http://www.sde68.fr/,,,,,,False,False,,False,False
5332,21-33212,GRAND ORLY SEINE BIEVRE,None,,,FR10,11 Avenue Henri Farman BP 748,94398,Orly Aérogare,,,,,commandepublique@grandorlyseinebievre.fr,http://Grandorlyseinebievre.fr,,,,,,False,True,,False,True
5333,21-33213,Ville de Mandelieu La Napoule,21060079700182,,M. Le Maire ou l'Elu délégué,FRL03,Avenue de la République,06212,MANDELIEU Cedex,,(+33) 4-92-97-30-00,,,marchespublics@mairie-mandelieu.fr,http://www.mandelieu.fr,https://www.marches-securises.fr,,,https://www.marches-securises.fr,,False,True,,False,True
5334,21-33214,Ville de Tours,None,,Service des Marchés Publics,FRB04,1 à 3 rue des Minimes,37926,Tours cedex 9,,,,,d.chasserieau@ville-tours.fr,https://www.tours.fr/,https://tours.achatpublic.com/sdm/ent/gen/index.do,,https://tours.achatpublic.com/sdm/ent/gen/index.do,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2021_1etexFTlBE,https://tours.achatpublic.com/sdm/ent/gen/index.do,False,True,,False,True
5335,21-33215,REGION GRAND EST,None,,Direction de l'Achat Public,FR,Maison de la Région à Châlons en Champagne - 5 rue de Jéricho - CS 70441,51037,Châlons en Champagne,,(+33) 3-26-70-66-43,,,laurent.dubois@grandest.fr,http://www.grandest.fr,https://marchespublics.grandest.fr,,,,,False,True,,False,True
5336,21-33216,CHU DUPUYTREN,None,,,FRI23,2 avenue Martin Luther King,87042,Limoges cedex,,,,,corinne.bardonneau@chu-limoges.fr,http://chu-limoges.fr,http://www.marches-publics.gouv.fr,,,,,False,True,,False,True
5337,21-33217,CENTRE HOSPITALIER REGIONAL UNVT,26250176000066,,,FRC21,Direction du Patrimoine des Investissements Médicaux de la Sécurité ( DPIMS ) Département Travaux 2 place St Jacques,25030,Besançon,,(+33) -03-81-21-80-80,,,dtp@chu-besancon.fr,http://www.marches-publics.gouv.fr,,,http://www.marches-publics.gouv.fr,https://www.marches-publics.gouv.fr,,False,True,,False,True
5338,21-33218,Mulhouse Alsace Agglomération,None,,,FRF12,"www.mulhouse-alsace.fr, www.alsacemarchespublics.eu",68948,Mulhouse,,,,,marches@ville-mulhouse.fr,http://www.mulhouse-alsace.fr,http://www.alsacemarchespublics.eu,,http://www.alsacemarchespublics.eu,http://alsacemarchespublics.eu,,False,True,,False,True
5339,21-33219,Ville d'Audenge,None,"M. Madera Laure, MAIRIE D'AUDENGE",,,24 allées de Boissière,33980,Audenge,,,,,,http://www.ville-audenge.fr,,,,,,False,False,,False,False
5340,21-33220,COMMUNE LE CANNET,None, Service des Marchés,,,31 BOULEVARD SADI CARNOT,06110,LE CANNET,,,,,marches@mairie-le-cannet.fr,http://www.lecannet.fr,https://www.marches-securises.fr,,,,,False,False,,False,False
5341,21-33222,Communauté Urbaine de Dunkerque,None,,,FRE11,Pertuis de la MarineBP 85530,59386,Dunkerque cedex 1,,(+33) 3-28-62-70-60,,,commandepublique@cud.fr,https://www.communaute-urbaine-dunkerque.fr/,https://www.marches-securises.fr/,,,,,False,True,,False,True
5342,21-33223,Métropole Nice Côte d'Azur,None,,,FRL03,Pour le compte de la Ville de Nice 5 rue de l'Hôtel de Ville,06364,Nice cedex 4,,(+33) 4-97-13-44-70,,,dao@nicecotedazur.org,http://www.e-marches06.fr,http://www.e-marches06.fr,,,,,False,True,,False,True
5343,21-33225,POLE EMPLOI,None,,,FR1,Direction comptable TSA92002,75987,Paris cedex 20,,,,,damfonct.00171@pole-emploi.fr,http://www.pole-emploi.fr,https://www.marches-publics.gouv.fr,,,,,False,True,,False,True
5344,21-33226,MINARM/DMAé,None,"M. Passation des contrats L'Adjoint au chef de bureau, MINARM/DMAE",,,"Direction de la maintenance aéronautique (DMAé) Sous-direction Achats 223, rue de Bègles CS 21152",33068,Bordeaux cedex,,,,,dmae-marches-publics.trait.fct@intradef.gouv.fr,,,,,,,False,False,,False,False
5345,21-33227,Bordeaux Métropole,None,,,FRI12,Esplanade Charles de Gaulle,33045,BORDEAUX,,,,,dacp@bordeaux-metropole.fr,http://www.bordeaux-metropole.fr,https://marchespublics.bordeaux-metropole.fr,https://demat-ampa.fr,https://demat-ampa.fr,https://demat-ampa.fr,,False,True,,False,True
5346,21-33228,CPAM de la Gironde,None,"M. Philippe Claussin, Directeur général",,,CPAM de la Gironde,33085,Bordeaux,,,,,,,,,,,,False,False,,False,False
5347,21-33229,Hauts-de-Seine Habitat - OPH,None, marches@hdshabitat.fr,,,45 rue Paul Vaillant Couturier,92532,Levallois-Perret,,01-47-57-31-77,,,marches@hdshabitat.fr,http://opdh92.e-marchespublics.com,http://opdh92.e-marchespublics.com,,,,,False,False,,False,False
5348,21-33230,CCI de Maine et Loire,None,"Mme GARREAU Gabrielle, CCI DE MAINE ET LOIRE",,,8 BD DU ROI RENE,49006,Angers,,02-41-20-49-00,,02-41-20-54-14,marches-publics@maineetloire.cci.fr,http://www.maineetloire.cci.fr,,,,,,False,False,,False,False
5349,21-33233,CTRE HOSP UNIVERSITAIRE ANGERS,None,Mme GENERALE LA DIRECTRICE,,,4 RUE LARREY,49933,Angers cedex 9,,,,,,,,,,,,False,False,,False,False
5350,21-33234,REGION GRAND EST,None,,,FRF1,1 Place Adrien Zeller - BP 91006,67070,STRASBOURG,,,,,marches.strasbourg@grandest.fr,http://www.grandest.fr,https://marchespublics.grandest.fr,,https://marchespublics.grandest.fr,https://marchespublics.grandest.fr,,False,True,,False,True
5351,20-52401,CHARTRES METROPOLE TRAITEMENT VALORISA,None, Louis SEMBLAT,,,Hôtel de villePlace des Halles,28000,Chartres,,,,,marches_publics@cm-tv.fr,https://www.c-chartres-marches.fr/,,,,,,False,False,,False,False
5352,21-33238,Commune de Saint-Genis-Laval,None,Madame La Maire,,,106 avenue clémenceaubp 80,69565,Saint genis laval cedex,,,,,commande.publique@mairie-saintgenislaval.fr,http://www.saintgenislaval.fr,http://www.grandlyon.marches-publics.info/saint-genislaval,,,,,False,False,,False,False
5353,21-33239,CTRE HOSP UNIVERSITAIRE ANGERS,None,,,FRG02,4 rue larrey,49933,Angers cedex 9,,,,,cjcght49@chu-angers.fr,http://www.chu-angers.fr,,,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=721783&orgAcronyme=x7c,https://www.marches-publics.gouv.fr,,False,True,,False,True
5354,21-33240,Cons. Départ. des Hauts-de-Seine,None,,,FR105,57 rue des Longues Raies,92000,Nanterre,,,,,achichignoud@hauts-de-seine.fr,http://www.hauts-de-seine.fr/,http://www.maximilien.fr/,,https://marches.maximilien.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&id=788278&orgAcronyme=f4g,http://www.maximilien.fr/,http://www.maximilien.fr/,False,True,,False,True
5355,21-33241,CUE - Université de Lyon,None,"Mme TATHEREAUX Fleur, COMUE - Université de Lyon",,,92 rue Pasteur CS 30122,69361,Lyon cedex 07,,,,,,http://www.universite-lyon.fr,,,,,,False,False,,False,False
5356,21-33242,OFPRA,18000603300039,,,FR107,"201, rue Carnot",94136,Fontenay-sous-bois cedex,,(+33) 1-58-68-10-10,,(+33) 1-58-68-19-50,marches@ofrpa.gouv.fr,https://www.ofpra.gouv.fr/,,,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=722944&orgAcronyme=k0l,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=722944&orgAcronyme=k0l,,False,True,,False,True
5357,21-33243,SEGAPAL,None,,Caroline Sonnet,FRK,Chemin de la Bletta,69120,Vaulx en velin,,(+33) 4-72-97-02-73,,(+33) 4-72-04-07-95,sonnet@grand-parc.fr,https://www.grand-parc.fr/,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,True,,False,True
5358,21-33244,Guingamp-Paimpol Agglomération,None,Monsieur le Président,,,11 rue de la Trinité,22200,Guingamp,,02-96-13-59-59,,,,http://www.guingamp-paimpol-agglo.bzh,http://www.megalis.bretagne.bzh,,,,,False,False,,False,False
5359,21-33245,SDIS 59,28590001500055,,Groupement achats et commande publique (situé au 1/3 rue du Palais Rihour -2e étage - BP70345 - 59026 Lille Cedex),FRE11,"18, rue de Pas - CS 20068",59028,Lille cedex,,(+33) 3-20-95-72-70,,,marches.publics@sdis59.fr,http://www.achatpublic.com,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,https://www.achatpublic.com,http://www.achatpublic.com,,False,True,,False,True
5360,21-33246,PARIS OUEST LA DEFENSE,None,"Mme ROCHARD Stéphanie, Gestionnaire contrats publics",Service support de la Commande Publique,,Immeuble Le Luminis 91 rue Jean Jaurès,92800,Puteaux,,01-47-32-57-02,,01-47-32-66-08,marches.publics@mairie-rueilmalmaison.fr,http://www.pold.fr,http://Marches.maximilien.fr,,,,,False,False,,False,False
5361,21-33247,SYND INTERCOM DU BASSIN D ARCACHON,None,"M. FOULON Yves, Président",,,16 allée Corrigan,33120,Arcachon,,05-57-52-74-72,,,,https://www.siba-bassin-arcachon.fr,https://www.demat-ampa.fr,,,,,False,False,,False,False
5362,21-33248,Caf de l'Essonne,38101653400053,,,FR104,6/8 rue Prométhée,91013,Evry,,(+33) 1-60-91-18-58,,,angela.montenegro-franco@cafevry.cnafmail.fr,https://meoss.achatpublic.com/sdm/ent/gen/index.jsp,https://meoss.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,True,,False,True
5363,21-33249,CTRE NAT DE LA RECHERCHE SCIENTIFIQUE,None,"Mlle LAKS Valerie, CNRS Délégation Paris Villejuif",,,7 rue Guy Môquet,94800,Villejuif,,01-49-58-34-29,,,valerie.laks@cnrs.fr,,,,,,,False,False,,False,False
5364,21-33250,PARIS OUEST LA DEFENSE,None,,"Rym KHAOUTI, Juriste Contrats publics, Service support de la Commande publique",FR105,Immeuble Le Luminis 91 rue Jean Jaurès,92806,PUTEAUX,,(+33) 1-47-32-67-01,,(+33) 1-47-32-66-08,marches.publics@mairie-rueilmalmaison.fr,http://www.pold.fr,http://Marches.maximilien.fr/,,https://marches.maximilien.fr,https://marches.maximilien.fr,,True,False,,False,True
5365,21-33251,Ville du Mans,None, Le Maire,,,"CS 40010 - 16 avenue François Mitterrand, Le Condorcet",72039,LE MANS,,02-43-47-47-47,,02-43-47-37-40,marches@lemans.fr,http://www.lemans.fr,http://www.sarthe-marchespublics.fr,,,,,False,False,,False,False
5366,21-33252,Commune de Le Tallud,None,"Mme LETANG Séverine, Sécrétariat",M. GUILBOT Services Techniques,,43 rue de l'Atlantique,79200,Le tallud,,05-49-64-17-01,,,mairieletallud@cc-parthenay-gatine.fr,,https://www.achatpublic.com,,,,,False,False,,False,False
5367,21-33253,C.H.U. de Nice,None,"M. GUEPRATTE Charles, DIRECTEUR GENERAL",,,4 Avenue Reine Victoria CS91179,06003,Nice cedex 1,,04-92-03-46-84,,04-92-03-44-68,cell-cent-march@chu-nice.fr,https://www.chu-nice.fr,https://www.marches-publics.gouv.fr,,,,,False,False,,False,False
5368,21-33254,COMMUNE DE TOULON,21830137200015,,,FRL05,"Avenue de la République, Cs 71407",83056,Toulon,,(+33) 4-94-36-32-40,,,correspondre@aws-france.com,https://www.toulon.fr/,https://www.marches-publics.info/,,https://www.marches-publics.info/,https://www.marches-publics.info/,,False,True,,False,True
5369,21-33255,Agence de l'eau Rhin-Meuse,None,,,FRF33,Chemin du Longeau BP 30019 Rozèrieulles,57160,Moulins-lès-metz,,(+33) 3-87-34-47-00,,(+33) 3-87-60-49-85,marches@eau-rhin-meuse.fr,http://www.eau-rhin-meuse.fr,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=704819&orgAcronyme=d4t,,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=704819&orgAcronyme=d4t,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=704819&orgAcronyme=d4t,,False,True,,False,True
5370,21-33256,Centre Hospitalier de Dunkerque,26590683400014,,,FRE11,"130 avenue Louis Herbeaux, Cs 76367",59385,Dunkerque,,,,,correspondre@aws-france.com,http://www.ch-dunkerque.fr,https://www.agysoft.marches-publics.info/,,https://www.agysoft.marches-publics.info/,https://www.agysoft.marches-publics.info/,,False,True,,False,True
5371,21-33257,SCE DEPARTEMENTAL INCENDIE ET SECOURS,28570161100029,,,FRF33,3 Rue De Bort Les Orgues,57072,Metz,,(+33) 3-87-79-45-00,,,marches-publics@sdis57.fr,http://www.sdis57.fr,http://www.agysoft.marches-publics.info,,http://www.agysoft.marches-publics.info,http://www.agysoft.marches-publics.info,,False,True,,False,True
5372,21-33258,DEPARTEMENT DE L ISERE,None, le Président,,,7 rue Fantin Latour,38022,Grenoble,,04-76-00-38-38,,04-76-00-38-35,marches-publics@isere.fr,https://www.isere.fr/,https://www.marches-publics.info,,,,,False,False,,False,False
5373,21-33259,COMMUNE DE PREVESSIN MOENS,None,"Mme CHARILLON Aurélie, Maire",,,27 CHEMIN DE L'EGLISE,01280,PREVESSIN-MOENS,,04-50-40-51-09,,04-50-40-42-51,correspondre@aws-france.com,http://www.prevessin-moens.fr,http://agysoft.marches-publics.info/,,,,,False,False,,False,False
5374,21-33260,COMMUNE DE ROUBAIX,None," Delbar Guillaume, Maire",,,"17 Grand place, CS70737",59066,ROUBAIX,,03-20-66-46-00,,,commandepublique@ville-roubaix.fr,http://www.ville-roubaix.fr/,http://agysoft.marches-publics.info/,,,,,False,False,,False,False
5375,21-33261,GHT ARTOIS TERNOIS,None,"Mme DERUDDRE Hélène, Directrice par intérim",,,"57 avenue Winston Churchill, CS 90006",62022,ARRAS,,03-21-21-16-12,,03-21-21-16-12,marches.economat@ch-arras.fr,http://www.ch-arras.fr/,https://agysoft.marches-publics.info,,,,,False,False,,False,False
5376,21-33262,DEPARTEMENT DU LOT,22460001500511,,,FRJ25,Avenue de l'Europe,46005,Cahors,,(+33) 5-65-53-40-00,,,cellule-marche@lot.fr,https://www.lot.fr,http://www.marches-publics.info/,,,,,False,True,,False,True
5377,21-33263,Département de la Vendée,22850001300658,,,FRG05,40 rue du Maréchal Foch,85923,La Roche Sur Yon,,(+33) 2-28-85-83-84,,,marchespublics@vendee.fr,http://vendee.fr,http://marchespublics.vendee.fr,,,,,False,True,,False,True
5378,21-33264,Département de la Vendée,None, le Président du Conseil départemental,,,40 rue du Maréchal Foch,85923,LA ROCHE SUR YON,,02-28-85-83-84,,,marchespublics@vendee.fr,http://vendee.fr,http://marchespublics.vendee.fr,,,,,False,False,,False,False
5379,21-33265,Ville de Balma,21310044900015,,,FRJ23,"8, allée de l'appel du 18 juin 1940",31132,Balma,,(+33) 5-61-24-92-92,,(+33) 5-61-24-52-93,commande.publique@mairie-balma.fr,http://www.mairie-balma.fr,http://www.ladepeche-marchespublics.fr,,http://www.ladepeche-marchespublics.fr,http://www.ladepeche-marchespublics.fr,,False,True,,False,True
5380,21-33267,APHM pour le compte du CH Martigues,None,,,FRL04,"Dsl Cellule Marchés, 3 bd des Rayettes",13698,Martigues,,,,,correspondre@aws-france.com,http://www.ch-martigues.fr,http://marchespublics.ght13.fr/,,,,,False,True,,False,True
5381,21-33268,office du tourisme de La Grande Motte,None," ARNAUD Jérôme, Directeur",,,Palais des Congrès,34280,LA GRANDE MOTTE,,04-67-56-40-50,,,isabelle@lagrandemotte-accueil.com,http://wwwlagrandemotte.com,http://marches-publics.info,,,,,False,False,,False,False
5382,21-33269,TERRITOIRE DE LA COTE OUEST,24974010100038,,http://mp.tco.re,FRY40,"1, rue Eliard Laude - BP 50049",97822,Le Port Cedex,,(+33) -02-62-32-12-12,,(+33) -02-62-32-22-22,marche@tco.re,http://www.tco.re,http://Mp.tco.re,,http://mp.tco.re,http://mp.tco.re,,False,True,,False,True
