,BOAMP_AVIS_NUM,D_18_01_Annexed1_Infructueuxouverte,D_18_02_Annexed1_Infructueuxrestreinte,D_18_03_Annexed1_Recherche,D_18_04_Annexed1_Raisonstechniques,D_18_05_Annexed1_Raisonsartistiques,D_18_06_Annexed1_Proprieteintellectuelle,D_18_07_Annexed1_Urgenceimperieuse,D_18_08_Annexed1_Marchecomplementaire,D_18_09_Annexed1_Prestationsidentiques,D_18_10_Annexed1_Laureatsconcours,D_18_11_Annexed1_Matierespremieres,D_18_12_Annexed1_Cessationactivite,D_18_13_Annexed1_Liquidateurs,D_18_14_Annexed1_Horsscope,D_18_15_Annexed1_Explication
0,21-104025,False,False,False,False,False,False,False,,False,True,,,,False,Marché de services attribué au lauréat ou à l'un des lauréats d'un concours
1,21-104162,False,False,False,False,False,False,False,,False,False,,,,True,"En vertu des directives 2014/24/UE du Parlement européen et du Conseil du 26 février 2014, le montant estimé du présent marché de travaux est inférieur au seuil d'application des directives susvisées. Ce dernier n'est donc pas soumis à l'obligation de publication préalable d'un avis de publicité au JOUE"
2,21-106215,True,False,False,False,False,False,False,,False,False,,,,False,"L'acheteur peut passer un marché sans publicité ni mise en concurrence préalables lorsque, dans les cas définis ci-après, soit aucune candidature ou aucune offre n'a été déposée dans les délais prescrits, soit seules des candidatures irrecevables définies à l'article R. 2144-7 ou des offres inappropriées définies à l'article L. 2152-4 ont été présentées, et pour autant que les conditions initiales du marché ne soient pas substantiellement modifiées : 1° Appel d'offres lancé par un pouvoir adjudicateur ;Larticle R2122-2 du Code de la Commande Publique prévoit que lacheteur peut passer un marché sans publicité ni mise en concurrence préalables dans le cas où la procédure dappel doffres a été déclarée sans suite pour cause dinfructuosité.Considérant que la seule offre reçue dans le cadre de cette procédure a été déclarée irrégulière, il convient de conclure un marché sans publicité ni mise en concurrence préalables selon larticle R2122-2 du code de la commande publique"
3,21-106328,False,False,False,False,False,False,False,,False,False,,,,True,Procédure adaptée non soumise à publication préalable au JOUE
4,21-106602,False,False,False,False,False,False,False,,False,True,,,,False,"Le présent marché fait suite à un concours de maîtrise duvre lancé via les supports de publicité du BOAMP et du JOUE le 20 décembre 2019, passé conformément à larticle 8 de lOrdonnance no 2015-899 du 23 juillet 2015 relative aux marchés publics, à larticle L.2125-1 et aux articles R.2122-6, R.2162-15 à R2162-21 et R.2172-1 à R.2172-6 du Code de la Commande Publique ; "
5,21-107058,False,False,False,False,False,False,False,,False,False,,,,True,Le présent marché de services juridiques est soumis à un régime allégé prévu par le 4° de larticle R.2123-1 et R.2123-8 du CCP.
6,21-107536,False,False,False,False,False,False,False,,False,True,,,,False,Marché négocié avec le lauréat d'un concours de maîtrise d'oeuvre
7,21-107613,True,False,False,False,False,False,False,,False,False,,,,False,"Procédure négociée en application des dispositions des articles L2122-1 et R2122-2 1° du Code de la commande publique, faisant suite à la déclaration sans suite pour infructuosité de la procédure initiale lancée en appel doffres ouvert sous la référence 2020-LONGII-BOAMP avis no20-105099-JOUE avis no2020/S 167-404357"
8,21-107642,False,False,False,False,False,False,False,,False,True,,,,False,"Conformément à l'article R2122-6 du code de la commande publique, l'acheteur peut passer un marché de services sans publicité ni mise en concurrence préalable avec le lauréat d'un concours. "
9,21-107645,False,False,False,False,False,True,False,,False,False,,,,False,Attestation d'exclusivité
