,BOAMP_AVIS_NUM,D_12_01_Conditionrelativemarche_Cautionnement,D_12_02_Conditionrelativemarche_Financement,D_12_03_Conditionrelativemarche_Formejuridique,D_12_04_Conditionrelativemarche_Participationelectroniqueoui,D_12_05_Conditionrelativemarche_Participationelectroniquenon,D_12_06_Conditionrelativemarche_Autresconditionspartoui,D_12_07_Conditionrelativemarche_Autresconditionspartnon,D_12_08_Conditionrelativemarche_Unitemonetaireeur,D_12_09_Conditionrelativemarche_Francaisseul,D_12_10_Conditionrelativemarche_Langues,D_12_10_01_Conditionrelativemarche_Langues_Langue,D_12_10_02_Conditionrelativemarche_Langues_Autres
3554,21-64824,"Une retenue de garantie de 5,0 % du montant initial du marché(augmenté le cas échéant du montant des avenants) sera constituée. Cette retenue de garantie sera prélevéesur le montant de chaque acompte par le comptable assignataire des paiements.Cette retenue de garantie peut être remplacée au gré du titulaire par une garantie à première demandeconstituée en totalité au plus tard à la date à laquelle le titulaire remet la demande de paiement correspondantau premier acompte du marché. La caution personnelle et solidaire n'est pas acceptée.Dans l'hypothèse où la garantie ou la caution ne serait pas constituée ou complétée au plus tard à la date àlaquelle le titulaire remet la demande de paiement correspondant au premier acompte du marché, la fraction dela retenue de garantie correspondant à l'acompte est prélevée. Le titulaire garde la possibilité, pendant toute ladurée du marché, de substituer une garantie à première demande.","Les travaux seront rémunérés dans les conditions fixées par les règles de comptabilité publique, sur lesressources propres de la ville de Drancy à la section investissement de son budget.Les sommes dues au(x) titulaire(s) et au(x) sous-traitant(s) de premier rang éventuel(s) du marché serontpayées dans un délai global de 30 jours à compter de la date de réception des factures ou des demandes depaiement équivalentes.L'attention des candidats est attirée sur le fait que s'ils veulent renoncer aux bénéfices de l'avance prévue auCCAP, ils doivent le préciser à l'acte d'engagement.","Les candidats peuvent se présenter seuls ou sous la forme d'un groupement.En cas de groupement, la forme souhaitée par le pouvoir adjudicateur est un groupement solidaire conjoint, dontle mandataire est solidaire du groupement. Si le groupement attributaire du marché est d'une forme différente, ilpourra se voir contraint d'assurer sa transformation pour se conformer au souhait du pouvoir adjudicateur telqu'il est indiqué ci-dessus.En application de l'article R. 2142-21 du Code de la commande publique, il est interdit aux candidats deprésenter plusieurs offres en agissant à la fois :- En qualité de candidats individuels et de membres d'un ou plusieurs groupements- En qualité de membres de plusieurs groupements",False,False,,True,True,False,CF_NIV_SUIV,['FR'],
3555,21-64826,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
3556,21-64827,,,"En cas de présentation d'une candidature en groupement conjoint, le mandataire du dit groupement devra être solidaire. Possibilité de présenter plusieurs offres en agissant à la fois en qualité de candidats individuels et de membres d'un ou de plusieurs groupements ou en qualité de membres de plusieurs groupements Impossibilité de présenter plusieurs offres en qualité de mandataire de plusieurs groupements : OuiPossibilité de présenter une offre pour l'ensemble des lots : Oui",False,False,,False,True,False,CF_NIV_SUIV,['FR'],
3557,21-64828,Conformément aux pièces du marché,Budget de la ville de Groslay,Conformément au règlement de consultation.,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
3558,21-64830,,,,False,False,,False,True,False,CF_NIV_SUIV,,
3559,21-64831,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
3560,21-64833,,,,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
3561,21-64834,,financement sur fonds propres,"Le pouvoir adjudicateur ne souhaite imposer aucune forme de groupement à l'attributaire de l'accord-cadre. Toutefois, en cas de groupement d'opérateurs économiques, la forme souhaitée mais non imposée par le pouvoir adjudicateur, est un groupement conjoint avec mandataire solidaire ou un groupement solidaire.",False,False,,False,False,False,CF_NIV_SUIV,,
3562,21-64835,Aucune clause de garantie financière ne sera appliquée,Les prestations sont réglées par des prix unitaires selon les stipulations del'acte d'engagement.Les prix sont révisés annuellement par application aux prix de l'accord-cadred'un coefficient Cn donné par la formule.Financement par la fiscalité locale et dotations,Le pouvoir adjudicateur ne souhaite imposer aucune forme de groupement àl'attributaire de l'accord-cadre,False,False,,True,True,False,CF_NIV_SUIV,['FR'],
3563,21-64837,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
