,BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
0,19-24667,CGSSM,None,"M. le Directeur Général de la Caisse Générale de Sécurité Sociale de la Martinique, Département Marchés",,,Place d'Armes,97210,Lamentin cedex 2,,05-96-66-74-29,,05-96-51-54-00,marchespublics@cgss-martinique.fr,http://www.cgss-martinique.fr,https://www.achatpublic.com,,,,,False,False,,False,False
1,20-121394,IMSA,None,,Cellule Marchés Publics,FRJ28,avenue du Clos Maury  CS 40217,82002,Montauban,,(+33) 5-63-68-47-52,,(+33) 5-63-68-48-89,marchespublics.grprec@imsa.msa.fr,http://informatique.msa.fr,https://msa.achatpublic.com,,,,,False,True,,False,True
2,20-125678,GA des étab. du dépt. du Haut-Rhin,None,Monsieur le Responsable du Groupement d'Achats,,,18 boulevard Saint-Pierre,68000,Colmar,,(+33)3-89-20-83-32,,,,https://gabares68.dwao.fr/,https://gabares68.dwao.fr,,,,,False,False,,False,False
3,20-129697,METROPOLE NANTES METROPOLE,None,Madame la Présidente,,,2 rue de l'hôtel de Ville,44094,Nantes Cedex 1,,,,,caroline.lefrancois@nantesmetropole.fr,http://www.metropole.nantes.fr,https://marchespublics.nantesmetropole.fr,,,,,False,False,,False,False
4,20-137607,COLLECTIVITE TERRITORIALE DE GUYANE,20005267800014,,,FRY3,"Hôtel de la Collectivité Territoriale de Guyane, Carrefour de Suzini, Cs 47025",97307,Cayenne,,(+33) 5-94-30-06-00,,(+33) 5-94-31-95-22,correspondre@aws-france.com,https://www.ctguyane.fr/,http://agysoft.marches-publics.info/,,,,,False,True,,False,True
5,20-137812,Crédit municipal de Paris,None,Monsieur le Directeur général,,,"55, rue des Francs-Bourgeois",75181,PARIS Cedex 04,,,,,service-marchespublics@creditmunicipal.fr,http://www.creditmunicipal.fr,https://marches.maximilien.fr,,,,,False,False,,False,False
6,20-152404,LES ATELIERS DES CAPUCINS,None,,,FRH02,,29200,Brest,,,,,armelle.cahour@ateliersdescapucins.fr,http://www.ateliersdescapucins.fr,http://www.marches.megalisbretagne.org,,,,,False,True,,False,True
7,20-156132,C.C. Beaujolais Pierres Dorées,None,Borowski Alain,,,1277 route des crêtes,69480,Anse,,,,,,,,,,,,False,False,,False,False
8,20-85419,Créteil-Habitat-SEMIC,None,,M le Directeur Général,FR107,"7, rue des Ecoles",94048,Créteil cédex,,(+33) 1-01-45-17-40-00,,(+33) 1-01-45-17-40-99,service.marche@creteil-habitat.com,http://www.creteil-habitat.com,http://www.creteil-habitat-marches.com,,http://www.creteil-habitat-marches.com,http://www.creteil-habitat-marches.com,,False,True,,False,True
9,21-100001,METZ METROPOLE,20003986500106,,,FRF33,"1 place du Parlement, Cs 30353",57011,Metz,,,,,marchespublics@metzmetropole.fr,http://www.metzmetropole.fr,http://www.marches-publics.info/,,,,,False,True,,False,True
10,21-100002,Département de la Haute-Savoie,None, le Président,,,23 rue de la Paix BP 32444,74041,ANNECY,,,,,dcpfour-serv@hautesavoie.fr,http://www.hautesavoie.fr,http://www.hautesavoie.fr,,,,,False,False,,False,False
11,21-100003,Région Provence Alpes Côte d'Azur,23130002100012,,,FRL04,"Hotel de Région, 27 Place Jules Guesde",13481,Marseille,,(+33) 4-91-57-50-57,,(+33) 4-91-57-50-64,servicedesmarches@regionpaca.fr,http://www.maregionsud.fr,http://achat.maregionsud.fr,,,,,False,True,,False,True
