,BOAMP_AVIS_NUM,G_04_01_Indexation_Datepublication,G_04_02_Indexation_Datelimitereponse,G_04_03_Indexation_Datefindiffusion,G_04_04_Indexation_Classes,G_04_04_01_Indexation_Classes_Classe,G_04_04_01_01_Indexation_Classes_Classe_Code,G_04_04_01_02_Indexation_Classes_Classe_Libelle,G_04_05_Indexation_Descripteurs,G_04_05_01_Indexation_Descripteurs_Descripteur,G_04_05_01_01_Indexation_Descripteurs_Descripteur_Code,G_04_05_01_02_Indexation_Descripteurs_Descripteur_Libelle,G_04_06_Indexation_Criteressociauxenv,G_04_06_01_Indexation_Criteressociauxenv_Sociaux,G_04_06_02_Indexation_Criteressociauxenv_Environnementaux,G_04_07_Indexation_Deppublication,G_04_08_Indexation_Depprestation,G_04_09_Indexation_Resumeobjet
0,18-147854,2021-05-27 23:00:00,2021-07-30 11:00:00,2021-07-29 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,163,Informatique (prestations de services),CF_NIV_SUIV,False,False,75,,élaboration du schéma directeur stratégique du système d'information et des services numériques (sdssisn) de la collectivité de la polynésie française pour la période 2022-2025.
1,18-147854,2021-05-27 23:00:00,2021-07-30 11:00:00,2021-07-29 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,163,Informatique (prestations de services),CF_NIV_SUIV,False,False,92,,élaboration du schéma directeur stratégique du système d'information et des services numériques (sdssisn) de la collectivité de la polynésie française pour la période 2022-2025.
2,18-147854,2021-05-27 23:00:00,2021-07-30 11:00:00,2021-07-29 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,163,Informatique (prestations de services),CF_NIV_SUIV,False,False,987,,élaboration du schéma directeur stratégique du système d'information et des services numériques (sdssisn) de la collectivité de la polynésie française pour la période 2022-2025.
3,19-148183,2021-05-06 23:00:00,,2021-05-11 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,16,Articles de bureau et articles scolaires,CF_NIV_SUIV,False,True,37,,"Fournitures de bureau et scolaires pour les écoles, les accueils périscolaires, de loisirs et les crèches"
4,20-117516,2021-05-30 23:00:00,,2021-07-30 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,347,Transport,CF_NIV_SUIV,False,False,971,,exploitation d'un service régulier de transport urbain terrestre de voyageurs
5,20-133423,2021-05-18 23:00:00,2021-06-11 12:00:00,2021-06-10 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,74,Couverture,CF_NIV_SUIV,False,False,76,,travaux divers d'entretien des bâtiments communaux 2021
6,20-133423,2021-05-18 23:00:00,2021-06-11 12:00:00,2021-06-10 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,105,Electricité (travaux),CF_NIV_SUIV,False,False,76,,travaux divers d'entretien des bâtiments communaux 2021
7,20-133423,2021-05-18 23:00:00,2021-06-11 12:00:00,2021-06-10 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,195,Maçonnerie,CF_NIV_SUIV,False,False,76,,travaux divers d'entretien des bâtiments communaux 2021
8,20-133423,2021-05-18 23:00:00,2021-06-11 12:00:00,2021-06-10 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,209,Matériel de sécurité,CF_NIV_SUIV,False,False,76,,travaux divers d'entretien des bâtiments communaux 2021
9,20-133423,2021-05-18 23:00:00,2021-06-11 12:00:00,2021-06-10 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,222,Menuiserie,CF_NIV_SUIV,False,False,76,,travaux divers d'entretien des bâtiments communaux 2021
