,BOAMP_AVIS_NUM,G_04_01_Indexation_Datepublication,G_04_02_Indexation_Datelimitereponse,G_04_03_Indexation_Datefindiffusion,G_04_04_Indexation_Classes,G_04_04_01_Indexation_Classes_Classe,G_04_04_01_01_Indexation_Classes_Classe_Code,G_04_04_01_02_Indexation_Classes_Classe_Libelle,G_04_05_Indexation_Descripteurs,G_04_05_01_Indexation_Descripteurs_Descripteur,G_04_05_01_01_Indexation_Descripteurs_Descripteur_Code,G_04_05_01_02_Indexation_Descripteurs_Descripteur_Libelle,G_04_06_Indexation_Criteressociauxenv,G_04_06_01_Indexation_Criteressociauxenv_Sociaux,G_04_06_02_Indexation_Criteressociauxenv_Environnementaux,G_04_07_Indexation_Deppublication,G_04_08_Indexation_Depprestation,G_04_09_Indexation_Resumeobjet
0,18-15636,2021-07-31 23:00:00,,2021-09-29 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,36,Blanchissage,CF_NIV_SUIV,True,False,47,,prestation de location et de nettoyage de linge pour l'enap
1,18-15636,2021-07-31 23:00:00,,2021-09-29 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,36,Blanchissage,CF_NIV_SUIV,True,False,31,,prestation de location et de nettoyage de linge pour l'enap
2,18-15636,2021-07-31 23:00:00,,2021-09-29 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,36,Blanchissage,CF_NIV_SUIV,True,False,33,,prestation de location et de nettoyage de linge pour l'enap
3,18-15636,2021-07-31 23:00:00,,2021-09-29 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,36,Blanchissage,CF_NIV_SUIV,True,False,40,,prestation de location et de nettoyage de linge pour l'enap
4,18-74158,2021-08-01 23:00:00,2021-08-25 12:00:00,2021-08-24 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,63,"Cloison, faux plafond",CF_NIV_SUIV,False,False,974,,remise en état des maisons de quartier : méroc - bengali et bois de nèfles coco
5,18-74158,2021-08-01 23:00:00,2021-08-25 12:00:00,2021-08-24 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,74,Couverture,CF_NIV_SUIV,False,False,974,,remise en état des maisons de quartier : méroc - bengali et bois de nèfles coco
6,18-74158,2021-08-01 23:00:00,2021-08-25 12:00:00,2021-08-24 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,87,Démolition,CF_NIV_SUIV,False,False,974,,remise en état des maisons de quartier : méroc - bengali et bois de nèfles coco
7,18-74158,2021-08-01 23:00:00,2021-08-25 12:00:00,2021-08-24 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,105,Electricité (travaux),CF_NIV_SUIV,False,False,974,,remise en état des maisons de quartier : méroc - bengali et bois de nèfles coco
8,18-74158,2021-08-01 23:00:00,2021-08-25 12:00:00,2021-08-24 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,222,Menuiserie,CF_NIV_SUIV,False,False,974,,remise en état des maisons de quartier : méroc - bengali et bois de nèfles coco
9,18-74158,2021-08-01 23:00:00,2021-08-25 12:00:00,2021-08-24 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,223,Métallerie,CF_NIV_SUIV,False,False,974,,remise en état des maisons de quartier : méroc - bengali et bois de nèfles coco
10,18-74158,2021-08-01 23:00:00,2021-08-25 12:00:00,2021-08-24 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,264,Peinture (travaux),CF_NIV_SUIV,False,False,974,,remise en état des maisons de quartier : méroc - bengali et bois de nèfles coco
11,18-74158,2021-08-01 23:00:00,2021-08-25 12:00:00,2021-08-24 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,270,Plomberie (travaux),CF_NIV_SUIV,False,False,974,,remise en état des maisons de quartier : méroc - bengali et bois de nèfles coco
12,18-74158,2021-08-01 23:00:00,2021-08-25 12:00:00,2021-08-24 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,319,Sanitaire,CF_NIV_SUIV,False,False,974,,remise en état des maisons de quartier : méroc - bengali et bois de nèfles coco
13,19-122114,2021-08-24 23:00:00,2021-09-24 12:00:00,2021-09-23 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,20,Assurance,CF_NIV_SUIV,False,False,85,,prestations de service d'assurances pour les besoins de la collectivité
14,20-121522,2021-08-04 23:00:00,,2021-09-07 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,59,"Chauffage (exploitation, entretien)",CF_NIV_SUIV,False,True,6,,Maintenance des installations de climatisation de la DGAC de l'aéroport de Nice côte d'azur
15,20-121522,2021-08-04 23:00:00,,2021-09-07 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,62,Climatisation,CF_NIV_SUIV,False,True,6,,Maintenance des installations de climatisation de la DGAC de l'aéroport de Nice côte d'azur
16,20-121522,2021-08-04 23:00:00,,2021-09-07 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,114,Equipement thermique,CF_NIV_SUIV,False,True,6,,Maintenance des installations de climatisation de la DGAC de l'aéroport de Nice côte d'azur
17,20-121522,2021-08-04 23:00:00,,2021-09-07 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,196,Maintenance,CF_NIV_SUIV,False,True,6,,Maintenance des installations de climatisation de la DGAC de l'aéroport de Nice côte d'azur
18,20-121522,2021-08-04 23:00:00,,2021-09-07 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,239,Nettoyage de locaux,CF_NIV_SUIV,False,True,6,,Maintenance des installations de climatisation de la DGAC de l'aéroport de Nice côte d'azur
19,20-32439,2021-08-04 23:00:00,,2021-09-29 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,59,"Chauffage (exploitation, entretien)",CF_NIV_SUIV,False,False,1,,"contrat de concession de service public ayant pour objet de confier la conception, la réalisation, l'exploitation et la commercialisation du smart grid thermique comprenant un volet électrique et numé"
20,20-32439,2021-08-04 23:00:00,,2021-09-29 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,60,Chauffage (matériel),CF_NIV_SUIV,False,False,1,,"contrat de concession de service public ayant pour objet de confier la conception, la réalisation, l'exploitation et la commercialisation du smart grid thermique comprenant un volet électrique et numé"
21,20-32439,2021-08-04 23:00:00,,2021-09-29 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,61,Chauffage (travaux),CF_NIV_SUIV,False,False,1,,"contrat de concession de service public ayant pour objet de confier la conception, la réalisation, l'exploitation et la commercialisation du smart grid thermique comprenant un volet électrique et numé"
22,20-32439,2021-08-04 23:00:00,,2021-09-29 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,306,Réseaux divers,CF_NIV_SUIV,False,False,1,,"contrat de concession de service public ayant pour objet de confier la conception, la réalisation, l'exploitation et la commercialisation du smart grid thermique comprenant un volet électrique et numé"
23,20-39744,2021-08-20 23:00:00,,2021-09-17 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,115,Equipements spécialisés,CF_NIV_SUIV,False,False,27,,fournitures d'equipements et de matériels électromécaniques pour l'eau potable et l'assainissement
24,20-39744,2021-08-20 23:00:00,,2021-09-17 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,272,Pompes,CF_NIV_SUIV,False,False,27,,fournitures d'equipements et de matériels électromécaniques pour l'eau potable et l'assainissement
25,20-7510,2021-08-05 23:00:00,2021-09-22 12:00:00,2021-09-21 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,186,Logiciel,CF_NIV_SUIV,False,False,85,,fourniture et accompagnement a la mise en oeuvre d'une solution numérique de gestion de photothèque médiathèque
26,20-84443,2021-08-21 23:00:00,,2021-10-07 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,311,Matériel robinetterie,CF_NIV_SUIV,False,False,94,,gestion de l'eau
27,20-84443,2021-08-21 23:00:00,,2021-10-07 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,311,Matériel robinetterie,CF_NIV_SUIV,False,False,75,,gestion de l'eau
28,20-84443,2021-08-21 23:00:00,,2021-10-07 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,440,Compteur d'eau,CF_NIV_SUIV,False,False,94,,gestion de l'eau
29,20-84443,2021-08-21 23:00:00,,2021-10-07 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,440,Compteur d'eau,CF_NIV_SUIV,False,False,75,,gestion de l'eau
30,21-100243,2021-08-21 23:00:00,,2021-09-19 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,21,Audit,CF_NIV_SUIV,False,False,62,,21S0217-AOO-DATM-Harmoniser les bilans de santé en école maternelle réalisés par les services de la protection maternelle infantile (pmi) de la région des hauts-de-france
31,21-100243,2021-08-21 23:00:00,,2021-09-19 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,21,Audit,CF_NIV_SUIV,False,False,60,,21S0217-AOO-DATM-Harmoniser les bilans de santé en école maternelle réalisés par les services de la protection maternelle infantile (pmi) de la région des hauts-de-france
32,21-100243,2021-08-21 23:00:00,,2021-09-19 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,21,Audit,CF_NIV_SUIV,False,False,59,,21S0217-AOO-DATM-Harmoniser les bilans de santé en école maternelle réalisés par les services de la protection maternelle infantile (pmi) de la région des hauts-de-france
33,21-100243,2021-08-21 23:00:00,,2021-09-19 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,21,Audit,CF_NIV_SUIV,False,False,80,,21S0217-AOO-DATM-Harmoniser les bilans de santé en école maternelle réalisés par les services de la protection maternelle infantile (pmi) de la région des hauts-de-france
34,21-100243,2021-08-21 23:00:00,,2021-09-19 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,21,Audit,CF_NIV_SUIV,False,False,2,,21S0217-AOO-DATM-Harmoniser les bilans de santé en école maternelle réalisés par les services de la protection maternelle infantile (pmi) de la région des hauts-de-france
35,21-100908,2021-08-02 23:00:00,,2021-10-22 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,1,Abris,CF_NIV_SUIV,False,True,60,,location de structures modulaires et matériels de cantonnement de chantier pour les besoins du service départemental d'archéologie du département de l'Oise
36,21-100908,2021-08-02 23:00:00,,2021-10-22 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,27,Bâtiments modulaires,CF_NIV_SUIV,False,True,60,,location de structures modulaires et matériels de cantonnement de chantier pour les besoins du service départemental d'archéologie du département de l'Oise
37,21-100908,2021-08-02 23:00:00,,2021-10-22 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,143,Groupe électrogène,CF_NIV_SUIV,False,True,60,,location de structures modulaires et matériels de cantonnement de chantier pour les besoins du service départemental d'archéologie du département de l'Oise
38,21-100934,2021-08-24 23:00:00,2021-09-20 12:00:00,2021-09-19 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,116,Espaces verts,CF_NIV_SUIV,False,False,63,,Travaux de requalification des squares René-Cassin et André-Roux et de leurs abords (relance du lot no3).
39,21-100934,2021-08-24 23:00:00,2021-09-20 12:00:00,2021-09-19 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,223,Métallerie,CF_NIV_SUIV,False,False,63,,Travaux de requalification des squares René-Cassin et André-Roux et de leurs abords (relance du lot no3).
40,21-100934,2021-08-24 23:00:00,2021-09-20 12:00:00,2021-09-19 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,366,Voirie et réseaux divers,CF_NIV_SUIV,False,False,63,,Travaux de requalification des squares René-Cassin et André-Roux et de leurs abords (relance du lot no3).
41,21-100934,2021-08-24 23:00:00,2021-09-20 12:00:00,2021-09-19 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,400,Aire de jeux,CF_NIV_SUIV,False,False,63,,Travaux de requalification des squares René-Cassin et André-Roux et de leurs abords (relance du lot no3).
42,21-100968,2021-08-27 23:00:00,,2021-09-30 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,52,"Carburant, hydrocarbure",CF_NIV_SUIV,False,False,31,,groupement de commande pour la fourniture de cartes de
43,21-100968,2021-08-27 23:00:00,,2021-09-30 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,52,"Carburant, hydrocarbure",CF_NIV_SUIV,False,False,34,,groupement de commande pour la fourniture de cartes de
44,21-100968,2021-08-27 23:00:00,,2021-09-30 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,52,"Carburant, hydrocarbure",CF_NIV_SUIV,False,False,30,,groupement de commande pour la fourniture de cartes de
45,21-100968,2021-08-27 23:00:00,,2021-09-30 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,52,"Carburant, hydrocarbure",CF_NIV_SUIV,False,False,66,,groupement de commande pour la fourniture de cartes de
46,21-100968,2021-08-27 23:00:00,,2021-09-30 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,403,"Carte magnétique, carte à puce",CF_NIV_SUIV,False,False,31,,groupement de commande pour la fourniture de cartes de
47,21-100968,2021-08-27 23:00:00,,2021-09-30 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,403,"Carte magnétique, carte à puce",CF_NIV_SUIV,False,False,34,,groupement de commande pour la fourniture de cartes de
48,21-100968,2021-08-27 23:00:00,,2021-09-30 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,403,"Carte magnétique, carte à puce",CF_NIV_SUIV,False,False,30,,groupement de commande pour la fourniture de cartes de
