BOAMP_AVIS_NUM,D_18_01_Annexed1_Infructueuxouverte,D_18_02_Annexed1_Infructueuxrestreinte,D_18_03_Annexed1_Recherche,D_18_04_Annexed1_Raisonstechniques,D_18_05_Annexed1_Raisonsartistiques,D_18_06_Annexed1_Proprieteintellectuelle,D_18_07_Annexed1_Urgenceimperieuse,D_18_08_Annexed1_Marchecomplementaire,D_18_09_Annexed1_Prestationsidentiques,D_18_10_Annexed1_Laureatsconcours,D_18_11_Annexed1_Matierespremieres,D_18_12_Annexed1_Cessationactivite,D_18_13_Annexed1_Liquidateurs,D_18_14_Annexed1_Horsscope,D_18_15_Annexed1_Explication
21-100576,False,False,False,False,False,True,False,,False,False,,,,False,Certificat d'exclusivité détenu par le titulaire
21-100977,False,False,False,False,False,False,False,,False,False,,,,True,"Un avis d'appel à la concurrence a été publié le 26 février 2021 au Bulletin Officiel des Annonces des Marchés Publics (BOAMP) sous le numéro 21-15614 et au Journal Officiel de l'Union Européenne (JOUE) sous le numéro 2021/S 040-097655 pour l'acquisition de jeux, jouets, livres, petits articles de puériculture et équipements de loisirs électroniques pour le Département du Pas-de-Calais (5 lots) passée par procédure d'appel d'offres ouvert en application de l'article R2124-2.1 et R2161-2 à R2161-5 du Code de la Commande Publique. La date limite de remise des offres était fixée au 25 mars 2021 à 16 heures 00. Le lot 1 : jeux d'éveil, jouets 1er âge et petits articles de puériculture a vu toutes ses offres reçues déclarées irrégulières le 22 avril 2021 du fait que les propositions ne correspondaient pas aux prescriptions techniques du marché. Le lot 1 a été relancé en procédure sans publicité ni mise en concurrence préalables conformément aux dispositions de l'article R2122-2 1° du Code de la Commande Publique."
21-101081,False,False,False,False,False,False,False,,False,False,,,,True,"Un avis d'appel à la concurrence a été publié le 26 février 2021 au Bulletin Officiel des Annonces des Marchés Publics (BOAMP) sous le numéro 21-15614 et au Journal Officiel de l'Union Européenne (JOUE) sous le numéro 2021/S 040-097655 pour l'acquisition de jeux, jouets, livres, petits articles de puériculture et équipements de loisirs électroniques pour le Département du Pas-de-Calais (5 lots) passée par procédure d'appel d'offres ouvert en application de l'article R2124-2.1 et R2161-2 à R2161-5 du Code de la Commande Publique. La date limite de remise des offres était fixée au 25 mars 2021 à 16 heures 00. Le lot 3 : jeux de société, jeux éducatif, activités créatives et sportives a vu toutes ses offres reçues déclarées irrégulières le 22 avril 2021 du fait que les propositions ne correspondaient pas aux prescriptions techniques du marché. Le lot 3 a été relancé en procédure sans publicité ni mise en concurrence préalables conformément aux dispositions de l'article R2122-2 1° du Code de la Commande Publique."
21-101152,False,False,False,False,False,False,False,,False,False,,,,True,"Un avis d'appel à la concurrence a été publié le 26 février 2021 au Bulletin Officiel des Annonces des Marchés Publics (BOAMP) sous le numéro 21-15614 et au Journal Officiel de l'Union Européenne (JOUE) sous le numéro 2021/S 040-097655 pour l'acquisition de jeux, jouets, livres, petits articles de puériculture et équipements de loisirs électroniques pour le Département du Pas-de-Calais (5 lots) passée par procédure d'appel d'offres ouvert en application de l'article R2124-2.1 et R2161-2 à R2161-5 du Code de la Commande Publique. La date limite de remise des offres était fixée au 25 mars 2021 à 16 heures 00. Le lot 5 : équipements de loisirs électronique a été déclaré infructueux, aucune offre n'a été déposée . Le lot 5 a été relancé en procédure sans publicité avec mise en concurrence préalables conformément aux dispositions de l'article R2122-2 1° du Code de la Commande Publique."
21-101333,False,False,False,False,False,False,False,,False,False,,,,True,"Expérimentation achat innovant en application du décret 2018-1225 du 24/12/2018 portant diverses mesures relatives aux contrats de la commande publique.La fourniture et la mise en service d'un logiciel de suivi recueil et d'analyse des consommations et des factures de fluides des équipements de la Métropole Rouen Normandie a pour but de collecter et consolider les données issues des factures d'énergie de l'ensemble du patrimoine de la Métropole à des fins d'analyse, d'exploitation et de contrôle financier"
21-101622,False,False,False,False,False,False,False,"<?xml version=""1.0"" encoding=""UTF-16""?>
<MARCHE_COMPLEMENTAIRE xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",False,False,,,,False,"Ces équipements ont été fabriqués par la société Toute La Téléphonie Industrielle (TLTI) suite a un précédant marchéLe changement de fournisseur nous obligerait à acquérir des fournitures ayant des caractéristiques techniques différentes entraînant une incompatibilité ou des difficultés techniques d'utilisation et d'entretien disproportionnées.La procédure retenue par l'administration est un accord cadre à bons de commande au sens des articles R2362-5 et R2362-8 du code de la commande publique passé sans publicité ni mise en concurrence, en application des dispositions de l'article R2322-8 du livre III du code de la commande publique."
21-101935,True,False,False,False,False,False,False,,False,False,,,,False,"Une procédure dappel doffres ouvert sous la forme dun accord-cadre à bons de commande alloti en 13 lots a été lancée en date du 12 février 2021. Suite à lanalyse qui a suivi, la Commission dAppel dOffres en date du 17 mai 2021 a décidé de déclarer infructueux le lot 3 : Bailleul, en raison de la règle limitant à 2 le nombre de lots pouvant être attribués à un même opérateur économique et de le relancer sous forme dun marché sans publicité ni mise en concurrence préalables conformément aux dispositions de larticle R.2122-2 du Code de la Commande Publique. Le pouvoir adjudicateur a donc décidé de relancer ce lot sous forme dun marché sans publicité ni mise en concurrence préalables conformément aux dispositions de larticle R.2122-2 du Code de la Commande Publique."
21-102327,True,False,False,False,False,False,False,,False,False,,,,False,"En application de l'article R2124-3 6° du Code de la commande publique, la consultation a été relancée sous la forme d'une procédure avec négociation. En effet, dans le cadre de la précédente consultation, seules des offres irrégulières ou inacceptables, au sens des articles L. 2152-2 et L. 2152-3, ont été présentées et les conditions initiales du marché ne soient pas substantiellement modifiées"
21-102553,False,False,False,False,False,False,False,,False,False,,,,True,"Les travaux ne peuvent être fournis que par un opérateur économique déterminé en raison de l'absence de concurrence pour des raisons techniques (article R. 2122-3 2o  du code de la commande publique), volumes de parc de stationnements et d'équipements sportifs imbriqués dans une opération immobilière complexe dont l'objet principal est la réalisation d'une opération majoritairement de logement dont les droits à construire sont cédés à un opérateur immobilier. Le parc de stationnement public et les équipements sportifs constituent une partie minoritaire et indissociable du programme de construction développé sur le lot DF1.1 du secteur Deschamps de la ZAC Garonne -Eiffel dont la réalisation incombe à l'opérateur, le choix de la localisation du parc de stationnement et des équipements sportifs au sein du Lot DF1.1 ayant été dicté par la politique d'aménagement du secteur que sous-tend la volonté de limiter la consommation de l'espace au sol afin d'assurer une meilleure intégration urbaine des équipements au sein du quartier développé, d'optimiser la consommation des droits à construire sur le territoire de la ZAC et de limiter les excavations de terres; compte tenu de la proximité de la Garonne et des propriétés géotechnique du sol qui militent pour des travaux de terrassement réduits, de développer un meilleur foisonnement des emplacements de stationnement en découplant les emplacements de stationnement des logements et des bureaux et par la situation du lot qui est limitrophe du jardin sportif Suzanne-Lenglen prévu dans le programme des équipements publics de la ZAC, en remplacement du stade Promis sur l'emprise duquel les constructions du lot DF1.1 doivent être réalisées. Il n'existe aucune solution de remplacement raisonnable pour la réalisation d'ouvrages similaires. Compte tenu de l'imbrication des volumes précités dans l'opération immobilière et de la nécessité de cohérence et de cohésion des prestations techniques, les travaux ne peuvent pas être réalisés par un autre opérateur que celui qui est en charge des travaux de réalisation de la partie principale de l'ensemble immobilier à construire."
21-102595,False,False,False,False,False,False,False,,False,False,,,,True,"Les travaux ne peuvent être fournis que par un opérateur économique déterminé en raison de l'absence de concurrence pour des raisons techniques (article R. 2122-3 2°  du code de la commande publique).  Équipements imbriqués dans une opération immobilière complexe dont l'objet principal est la réalisation d'une opération majoritairement de logement dont les droits à construire seront cédés à un opérateur immobilier.  Les équipements sportifs constituent une partie minoritaire et indissociable du programme de construction  développé sur le lot DF1.1 du secteur Deschamps de la ZAC Garonne Eiffel dont la réalisation incombe à  l'opérateur, le choix de la localisation des équipements sportifs au sein du lot DF1.1 ayant été dicté par la politique d'aménagement du secteur que sous-tend la volonté de limiter la consommation de l'espace au sol afin d'assurer une meilleure intégration urbaine des équipements au sein du quartier développé, d'optimiser la consommation des droits à construire sur le territoire de la ZAC et de limiter les excavations de terres; et par la situation du lot qui est limitrophe du jardin sportif Suzanne-Lenglen prévu dans le programme des équipements publics de la ZAC, en remplacement du stade Promis sur l'emprise duquel les construction du lot DF1.1 doivent être réalisées. Compte tenu de l'imbrication du volume de ces équipement dans l'opération immobilière et de la nécessité de cohérence et de cohésion des prestations techniques, les travaux ne peuvent pas être réalisés par un autre opérateur que celui qui est en charge des travaux de réalisation de la partie principale de l'ensemble immobilier à construire."
