BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
21-123729,REGION GRAND EST,None,Direction de l'Achat Public - Service Achat Public (site de Metz) - Achats travaux investissement,,,Hôtel de Région - Place Gabriel Hocquard - CS 8100457036 METZ Cedex 1,57036,Metz cedex 1,,(+33)3-87-33-62-11,,,marchesfournituresservicesmetz@grandest.fr,http://www.grandest.fr,https://marchespublics.grandest.fr,,,,,False,False,,False,False
21-123730,SCE DEPARTEMENTAL INCENDIE ET SECOURS,None, SADDIER Martial,,,6 rue du Nant - BP 1010 - Meythet,74966,Annecy cedex,,04-50-22-76-32,,04-50-22-76-35,marches.publics@sdis74.fr,,https://sdis74.e-marchespublics.com,,,,,False,False,,False,False
21-123731,Inria,None,,,FR,Domaine de Voluceau Bât 8 - ROCQUENCOURT-BP150,78153,Le chesnay cedex,,(+33) 1-39-63-55-11,,,sam@inria.fr,http://www.inria.fr,,,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=823678&orgAcronyme=f2h,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=823678&orgAcronyme=f2h,,False,True,,False,True
21-123732,Département des Côtes d'Armor,None,Pascale LABBE,,,9 place du Général de Gaulle,22023,SAINT-BRIEUC CEDEX 1,,,,,contactdfj@cotesdarmor.fr,https://www.cotesdarmor.fr,,,,,,False,False,,False,False
21-123733,Université du Maine,None,"M. Service achats, Université du Mans",,,Avenue Olivier Messiaen,72085,Le mans,,02-43-83-37-37,,,,http://www.univ-lemans.fr/fr/index.html,,,,,,False,False,,False,False
21-123734,URSSAF RHONE ALPES,None,Mme ORTEGA Françoise,,,6 rue du 19 mars 1962,69200,Vénissieux,,04-72-09-24-57,,,francoise.ortega@urssaf.fr,,https://meoss.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
21-123735,Centre nationale du cinéma,None,Département achats et marchés,,,www.cnc.frhttps://marchespublics-cnc.omnikles.com,75675,Paris cedex 14,,,,,marchespublics@cnc.fr,http://www.cnc.fr,https://www.marches-publics.gouv.fr,,,,,False,False,,False,False
21-123736,Conseil général du Gard,22300001900073,,,FRJ12,"3, rue Guillemette",30044,Nîmes,,,,,nepasutiliser@gard.fr,http://www.gard.fr,https://marchespublics.gard.fr/?page=entreprise.EntrepriseHome,,,,,False,True,,False,True
21-123737,METROPOLE D AIX MARSEILLE PROVENCE,None,,Direction de la Commande Publique - Service des Marchés,FRL04,58 bd Charles Livon,13007,Marseille,,(+33) 4-91-99-99-00,,(+33) 4-91-99-71-96,marches.marseilleprovence@ampmetropole.fr,http://www.marseille-provence.com,https://marchespublics.ampmetropole.fr,,,,,False,True,,False,True
21-123738,Service départemental d'incendie et de,None,Mme Bloch Nathalie,,,Rue du colonel rimailho,58640,Varennes-vauzelles,,,,,,,,,,,,False,False,,False,False
