BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
21-111707,AGENCE REGIONALE DE SANTE GRAND EST,None,"Mme PEQUIGNOT SARAH, ARS GRAND EST",,,3 Boulevard Joffre,54036,Nancy cedex,,03-83-39-30-30,,,,https://www.grand-est.ars.sante.fr,,,,,,False,False,,False,False
21-111708,DIR REG ENVIR AMENAGEMENT LOGT AUVERGN,None,"M. Granet François, Adjoint au Chef du POO",,,7 rue Léo Lagrange,63033,Clermont-ferrand cedex 1,,,,,poo.map.dreal-ara@developpement-durable.gouv.fr,http://www.auvergne-rhone-alpes.developpement-durable.gouv.fr,http://www.marches-publics.gouv.fr,,,,,False,False,,False,False
21-111709,Commune d'ESPALION,None,Mme Souyri Marion,,,Place de la Résistance,12500,Espalion,,05-65-51-10-45,,,marion.mairie-espalion@orange.fr,http://www.espalion.fr,http://www.e-occitanie.fr,,,,,False,False,,False,False
21-111712,CA du Bassin de Bourg en Bresse,None,,,FRK21,"3, avenue Arsène d'Arsonval CS 88000",01008,BOURG EN BRESSE CEDEX,,,,,commande.publique@grandbourg.fr,http://www.ca3b.fr,https://marchespublics.ain.fr,https://marchespublics.ain.fr,,,,False,True,,False,True
21-111713,CA du Bassin de Bourg en Bresse,None,,,FRK21,"3, avenue Arsène d'Arsonval CS 88000",01008,BOURG EN BRESSE CEDEX,,,,,commande.publique@ca3b.fr,http://www.ca3b.fr,https://marchespublics.ain.fr,https://marchespublics.ain.fr,,,,False,True,,False,True
21-111714,Commune de Douai,None,,,FRE1,CS 80836,59508,Douai cedex,,,,,jvallin@ville-douai.fr,https://marchespublics596280.fr/?page=frame.ConsultationsOrganisme&amp;org=3C029,,,,,,False,True,,False,True
21-111715,Agence de l'Eau Artois - Picardie,18591178100028,,Service comptabilité budgétaire et commande publique,FRE11,"200 Rue Marceline, BP 80818",59508,Douai cedex,,(+33) 3-27-99-90-00,,(+33) 3-27-99-90-15,d.bataille@eau-artois-picardie.fr,http://www.eau-agence-picardie.fr,https://www.marches-publics.gouv.fr,,,,,False,True,,False,True
21-111716,Société du Grand Paris,52504601700048,,,FR10,"Immeuble Le Moods, 2-4 mail de la petite Espagne",93200,Saint-denis,,(+33) 1-82-46-20-00,,(+33) 1-82-46-20-31,marches-sgp@societedugrandparis.fr,http://www.societedugrandparis.fr,,,,,,False,True,,False,True
21-111718,CA du Bassin de Bourg en Bresse,None,,,FRK21,"3, avenue Arsène d'Arsonval CS 88000",01008,BOURG EN BRESSE CEDEX,,,,,commande.publique@grandbourg.fr,http://www.ca3b.fr,https://marchespublics.ain.fr,https://marchespublics.ain.fr,,,,False,True,,False,True
21-111720,Ville d'Auxerre,None, Auxerre Ville d',,,"14, Place de l'Hôtel de Ville - BP 70059",89012,Auxerre,,,,,,,,,,,,False,False,,False,False
