,BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
4550,21-151203,CUE - Université de Lyon,None,,,FRK2,92 rue Pasteur CS 30122,69361,Lyon cedex 07,,,,,marches.publics@universite-lyon.fr,http://www.universite-lyon.fr,,,,,,False,True,,False,True
4551,21-151204,Conseil régional des Pays de la Loire,23440003400026,,,FRG0,1 rue de la Loire,44966,Nantes cedex 9,,(+33) 2-28-20-58-38,,,demandedce@paysdelaloire.fr,http://www.paysdelaloire.fr,https://marchespublics.paysdelaloire.fr,,https://marchespublics.paysdelaloire.fr/,https://marchespublics.paysdelaloire.fr/,,False,True,,False,True
4552,21-151205,COMMUNE DE VITRY SUR SEINE,None,,,FR107,"Hôtel de Ville, 2 avenue Youri Gagarine",94407,Vitry sur seine cedex,,,,,frederic.laubreaux@mairie-vitry94.fr,https://marches.maximilien.fr,http://vitry94.fr,,https://marches.maximilien.fr/index.php?page=Entreprise.EntrepriseAdvancedSearch&AllCons&id=799256&orgAcronyme=c1f,https://marches.maximilien.fr/index.php?page=Entreprise.EntrepriseAdvancedSearch&AllCons&id=799256&orgAcronyme=c1f,https://marches.maximilien.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=295449&orgAcronyme=c1f,False,True,,False,True
4553,21-151206,Museum National d'Histoire Naturelle,None,,,FR101,57 rue CUVIER,75005,PARIS,,(+33) 1-71-21-46-56,,,marches@mnhn.fr,https://www.mnhn.fr,https://mnhn.e-marchespublics.com,,https://mnhn.e-marchespublics.com,https://mnhn.e-marchespublics.com,,False,True,,False,True
4554,21-151207,S.I.A.Z.I.M.,None,Mme la Présidente,,,Mairie de Biarritz - Avenue Edouard VII - B.P. 58,64202,Biarritz Cedex,,05-59-41-39-69,,,marche@biarritz.fr,http://www.ville.biarritz.fr,http://www.demat-ampa.fr,,,,,False,False,,False,False
4555,21-151208,CA EVREUX PORTES DE NORMANDIE,None,,,FRD21,"9, rue Voltaire CS 40423",27004,EVREUX CEDEX,,(+33) 2-32-31-92-91,,(+33) 2-32-31-92-28,marches@epn-agglo.fr,http://www.evreuxportesdenormandie.fr/,https://marchespublics.eure.fr,https://marchespublics.eure.fr,,,,False,True,,False,True
4556,21-151209,Douaisis Agglo,None,,Service commande publique,FRE11,746 rue Jean Perrin - ZI de Douai Dorignies - BP no 300,59351,Douai,,(+33) 3-27-99-21-47,,,marchespublics@douaisis-agglo.com,http://www.douaisis-agglo.com,http://marchespublics596280.fr,,,,,False,True,,False,True
4557,21-151210,Cté de Cnes du pays de Landerneau,None,M. Le Président,,,59 rue de Brest,29800,Landerneau,,02-98-85-43-19,,,mp@ccpld.bzh,http://www.pays-landerneau-daoulas.fr,http://www.e-megalis.org,,,,,False,False,,False,False
4558,21-151211,COMMUNE DE VELIZY VILLACOUBLAY,None,M. Thevenot Pascal,,,2 place de l'hôtel de ville,78146,Vélizy-villacoublay cedex,,,,,,https://www.velizy-villacoublay.fr/,,,,,,False,False,,False,False
4559,21-151212,INST NATIO SCIENCES APPLIQUEES ROUEN,None,,,FRD22,685 Avenue de l'Université,76801,Saint etienne du rouvray,,(+33) 2-32-95-65-20,,,marche.public@insa-rouen.fr,https://www.insa-rouen.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2021_BRfO2jy-2l,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2021_BRfO2jy-2l,,False,True,,False,True
