BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
21-163492,Com Com Xaintrie Val'Dordogne,None,,,FRI21,Avenue du 8 mai 1945 - BP 51,19400,ARGENTAT-SUR-DORDOGNE,,(+33) 5-55-91-01-75,,,accueil@xaintrie-val-dordogne.fr,http://www.xaintrie-val-dordogne.fr/,http://xaintrie-val-dordogne.centreofficielles.com,,https://www.centreofficielles.com,https://www.centreofficielles.com,,False,True,,False,True
21-163493,Ville de Lille,None,,,FRE11,Place Augustin Laurent CS 30667,59033,Lille cedex,,,,,marchespublics@mairie-lille.fr,https://www.lille.fr/,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,True,,False,True
21-163494,Société du Grand Paris,52504601700048,,,FR106,Immeuble Moods - 2-4 mail de la petite Espagne - CS10011,93212,Saint Denis,,(+33) -01-82-46-20-00,,(+33) -01-82-46-20-31,marches-sgp@societedugrandparis.fr,https://www.societedugrandparis.fr,https://www.marches-publics.gouv.fr,,,,,False,True,,False,True
21-163495,Département d'Ille et Vilaine,None, Le Président,,,"3, avenue de Cucillé - CS 24218",35042,RENNES CEDEX,,,,,contact@ille-et-vilaine.fr,https://marches.megalis.bretagne.bzh,https://marches.megalisbretagne.bzh,,,,,False,False,,False,False
21-163496,Cté de communes Vallée de l'Hérault,None,"M. Jean-François Soto, Président",,,2 parc d'activités de Camalcé,34150,Gignac,,,,,marches@cc-vallee-herault.fr,,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
21-163497,GHU AP-HP.CENTRE - UNIVERSITE DE PARIS,None,"M. NGUYEN Stéphane, Acheteur",Cellule des Marchés - Bâtiment le Cloître - A l'attention de Monsieur Stéphane NGUYEN,,"123, boulevard de Port Royal",75014,Paris,,01-58-41-33-47,,,stephane.nguyen2@aphp.fr,http://www.aphp.fr,https://www.marches-publics.gouv.fr,,,,,False,False,,False,False
21-163498,Symevad,None,,Hélène KROLIKOWSKI,FRE12,60 Rue Mirabeau,62141,EVIN MALMAISON,,(+33) 3-21-74-35-99,,,h.krolikowski@symevad.org,http://www.symevad.org,http://symevad.e-marchespublics.com,,,,,False,True,,False,True
21-163499,MINDEF/SGA/DCSID/ESID Bordeaux,None,"M. DEHAYE Boris, Etablissement du Service d'Infrastructure de la Défense de Bordeaux",,,Caserne Nansouty - 223 rue de Bègles - CS 21152,33068,Bordeaux cedex,,05-57-85-16-60,,,,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=832191&orgAcronyme=g7h,,,,,,False,False,,False,False
21-163501,Brest métropole,None,,,FRH02,"Division de la Commande Publique 24, rue Coat ar Gueven - CS 73826",29238,Brest cédex 02,,(+33) 2-98-33-54-11,,(+33) 2-98-33-51-45,marches@brest-metropole.fr,http://Brest.fr,http://Marches.megalis.bretagne.bzh,,,,,False,True,,False,True
21-163502,Ville de Baie-Mahault,None,Mme le maire,,,Hôtel de ville Place Childéric TRINQUEUR,97122,Baie-Mahault,,05-90-26-59-60,,,mairie@baiemahault.fr,http://www.baiemahault.fr,,,,,,False,False,,False,False
