BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
21-80972,Syndicat mixte Hérault Transport,None,Hérault Transport,,,"148, Avenue du Professeur VIALA, CS 34303",34193,Montpellier Cedex 5,,04-67-40-98-16,,,marchespublics@herault-transport.fr,http://www.herault-transport.fr,http://marchespublics-herault.safetender.com,,,,,False,False,,False,False
21-80973,Département de l'Oise,None,,,FRE22,Direction générale adjointe finances et modernisation - Direction de la Commande Publique - Centre administratif François Bénard - Avenue de l'Europe - 1 rue Cambry,60000,Bauvais,,(+33) 3-44-06-60-92,,,ld-commandepublique-sao@oise.fr,http://www.oise.fr,https://www.marches-securises.fr/perso/cg60/,,,,,False,True,,False,True
21-80974,COMMUNE DE SAINT NAZAIRE,None," SAMZUN DAVID, Monsieur Le Maire",,,Place François Blancho,44600,Saint Nazaire,,,,,marchespublics@agglo-carene.fr,http://www.saintnazaire.fr/,http://www.agglo-carene.fr/demarches-et-infos-pratiques/marches-publics-414.html,,,,,False,False,,False,False
21-80975,COM D AGGLO REG NAZAIRIENNE ESTUAIRE,None," SAMZUN DAVID, Monsieur le Président",,,4 av. du Commandant l'Herminier,44605,Saint-Nazaire,,,,02-40-00-40-38,marchespublics@agglo-carene.fr,http://www.agglo-carene.fr/,http://www.agglo-carene.fr/demarches-et-infos-pratiques/marches-publics-414.html,,,,,False,False,,False,False
21-80976,Ville de Lyon,21690123100011,,,FRK26,"Direction de la Commande publique, 10 quai Jean Moulin",69205,Lyon cedex 01,,(+33) 4-72-10-30-30,,,marchespublics@mairie-lyon.fr,http://www.marchespublics.lyon.fr,http://marches2.lyon.fr,,http://marches2.lyon.fr,http://marches2.lyon.fr,,False,True,,False,True
21-80978,MAIRIE de NEYDENS,None,"Mme VINCENT Carole, Maire",,,"Mairie, 60 Chemin Neuf",74160,NEYDENS,,04-50-35-05-50,,04-50-35-04-09,mairie@neydens.com,http://www.mp74.fr,http://www.mp74.fr,,,,,False,False,,False,False
21-80980,Ville de Marseille,None,,,FRL04,Hôtel de ville - quai du port,13233,Marseille cedex 20,,,,,guichet-dmp@marseille.fr,http://marseille.fr,http://marchespublics.mairie-marseille.fr,,https://mpe-marseille.local-trust.com/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=26361&orgAcronyme=mairie-marseille,http://Mpe-marseille.local-trust.com/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=26361&orgAcronyme=mairie-marseille,,False,True,,False,True
21-80981,Conseil Général des Landes,None,Monsieur le Président du Conseil Départemental,,,23 rue Victor Hugo,40025,Mont de Marsan,,05-58-05-40-40,,05-58-05-41-82,marchespublics@landes.fr,http://www.landes.fr,,,,,,False,False,,False,False
21-80982,TAM - Transports Agglo Montpellier,31487181500093,,,FRJ13,"Mandataire de Montpellier Métropole, 125 Rue Léon Trotski - Cs60014",34075,Montpellier,,(+33) 4-67-07-63-56,,,marches@tam-way.com,http://www.tam-voyages.com,http://www.tam-voyages.com,,http://www.tam-voyages.com,http://www.tam-voyages.com,,False,True,,False,True
21-80983,SIVU Piscine des Bussys,None,Bristow Olivier,,,Piscine intercommunale des Bussys98 rue des Bussys,95600,Eaubonne,,01-34-27-37-30,,,si.piscinedesbussys@orange.fr,http://piscinedesbussys.fr,,,,,,False,False,,False,False
