BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
21-138306,CROUS de Lille,18591150000014,,Direction de la Commande Publique,FRE1,74 rue de Cambrai - BP 50100,59017,Lille cedex,,(+33) 3-20-88-66-02,,,service.patrimoine.et.marches@crous-lille.fr,http://www.crous-lille.fr,http://www.marches-publics.gouv.fr,,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,,False,True,,False,True
21-138307,Ville de Paris,None,,,FR101,7 avenue de la porte d'Ivry,75013,Paris,,,,,dfa-bm1@paris.fr,https://www.paris.fr,,,,,,False,True,,False,True
21-138308,METROPOLE D AIX MARSEILLE PROVENCE,None,,,FRL04,"58, boulevard Charles Livon",13567,Marseille,,(+33) -44-21-11-64,,,commande-publique.istresouestprovence@ampmetropole.fr,https://www.ampmetropole.fr/,https://marchespublics.ampmetropole.fr,,,,,False,True,,False,True
21-138309,SDIS de la Haute-Garonne,283100014,,,FRJ23,Service des marchés 49 chemin de l'armurié CS 80 123,31772,Colomiers,,(+33) 5-61-06-37-00,,,servicemarches@sdis31.fr,http://www.sdis31.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2021_SIwdYgfg5z,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2021_SIwdYgfg5z,http://www.achatpublic.com,False,True,,False,True
21-138310,UNIVERSITÉ GUSTAVE EIFFEL,None,"Mme GRAVEREAU Corinne, Responsable adjointe du service des marchés",,,5 boulevard Descartes,77454,Marne-la-vallée cedex 2,,01-60-95-74-08,,,marchespublics@u-pem.fr,https://www.univ-gustave-eiffel.fr,,,,,,False,False,,False,False
21-138311,Mulhouse Alsace Agglomération,None,,,FRF12,,None,Mulhouse,,,,,marches@ville-mulhouse.fr,http://www.alsacemarchespublics.eu,,,http://www.alsacemarchespublics.eu,http://www.alsacemarchespublics.eu,,False,True,,False,True
21-138312,Centre hospitalier de Troyes,None,"M. BLUA Philippe, DIRECTEUR",,,"101, avenue ANATOLE FRANCE",10003,Troyes cedex,,03-25-49-49-49,,03-25-49-48-50,fatahia.bougtib@hcs-sante.fr,,http://www.klekoon.com,,,,,False,False,,False,False
21-138314,SDEE de la Lozère,None,,Aurélie MALLET,FRJ14,12 bd Henri Bourrillon,48000,MENDE,,(+33) -66-65-77-61,,,a.mallet@sdee48.fr,http://www.sdee-lozere.fr,https://sdee48.e-marchespublics.com,,https://sdee48.e-marchespublics.com,https://sdee48.e-marchespublics.com,,False,True,,False,True
21-138315,Communauté de l'Auxerrois,None, Auxerre Ville d',,,"14, Place de l'Hôtel de Ville - BP 70059",89012,Auxerre,,,,,,,,,,,,False,False,,False,False
21-138316,Agglomération Maubeuge Val de Sambre,None,"Benjamin Saint-Huile, Président",,,"1, Place du pavillon- B.P 50234",59603,Maubeuge,,,,,,,http://www.achatpublic.com,,,,,False,False,,False,False
21-138317,Ville de Longwy,CO.O.no20038,,Tribunal Administratif de Nancy,FRF31,4 Av.de la Grande Duchesse Charlotte,54400,LONGWY,,(+33) -82-44-61-34,,,greff.ta-nancy@juradm.fr,https://www.mairie-longwy.fr,http://mairie-longwy.e-marchespublics.com,,https://www.e-marchespublics.com,https://www.e-marchespublics.com,,False,True,,False,True
21-138318,Ville de Valenciennes,None,Monsieur le Maire,,,BP 90339,59304,Valenciennes Cedex,,03-27-22-59-00,,,,http://www.valenciennes.fr/,http://marchespublics596280.fr/,,,,,False,False,,False,False
21-138319,Communauté de Communes du Brivadois,None, VACHELARD Jean-Luc,,,2 rue du 21 juin 1944 BP 55,43100,Brioude,,04-71-50-89-10,,,developpement@brioudesudauvergne.fr,,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
21-138320,Vitré Communauté,None,,,FRH03,16 bis boulevard des rochers,35500,Vitré,,(+33) 2-99-74-52-61,,,commande.publique@vitrecommunaute.org,https://vitrecommunaute.org/,https://www.megalis.bretagne.bzh,,,,,False,True,,False,True
