BOAMP_AVIS_NUM,D_03_01_Typepouvoiradjudicateur_Minautoritenationale,D_03_02_Typepouvoiradjudicateur_Agencenational,D_03_03_Typepouvoiradjudicateur_Autotriteregional,D_03_04_Typepouvoiradjudicateur_Agenceregional,D_03_05_Typepouvoiradjudicateur_Orgdroitpublic,D_03_06_Typepouvoiradjudicateur_Institutioneuropeenne,D_03_07_Typepouvoiradjudicateur_Autre
21-137565,False,False,True,False,False,False,
21-137567,False,False,True,False,False,False,
21-137568,False,False,True,False,False,False,
21-137569,False,False,True,False,False,False,
21-137573,False,False,True,False,False,False,
21-137574,False,False,False,False,True,False,
21-137575,True,False,False,False,False,False,
21-137577,False,False,True,False,False,False,
21-137578,False,False,False,False,False,False,Communauté de Communes de la Côte d'Albâtre
21-137579,False,False,True,False,False,False,
21-137582,False,False,True,False,False,False,
21-137583,True,False,False,False,False,False,
21-137584,False,False,True,False,False,False,
21-137585,False,False,False,False,False,False,Etablissement public de coopération intercommunale
21-137588,False,False,False,False,False,False,autre
21-137589,False,False,True,False,False,False,
21-137591,False,False,True,False,False,False,
21-137593,True,False,False,False,False,False,
21-137596,False,False,False,False,False,False,"Société Civile Immobilière CEFORTECH, filiale de la CCI métropolitaine Bretagne ouest, Etablissement public administratif de l'Etat"
21-137598,False,False,True,False,False,False,
21-137601,False,False,True,False,False,False,
21-137604,False,False,True,False,False,False,
21-137605,False,False,False,False,False,False,Etablissement d'enseignement supérieur et de recherche
21-137607,False,False,False,False,False,False,Société publique locale
21-137609,False,False,False,False,False,False,Organisme de droit privé soumis au code de la commande publique
21-137611,False,False,True,False,False,False,
21-137616,False,False,False,False,True,False,
21-137621,False,False,False,False,False,False,Université
21-137622,False,False,True,False,False,False,
21-137623,True,False,False,False,False,False,
21-137629,False,False,True,False,False,False,
21-137630,False,False,True,False,False,False,
21-137632,False,False,False,True,False,False,
21-137635,False,False,True,False,False,False,
21-137638,False,False,True,False,False,False,
21-137642,False,False,False,False,False,False,organisme de Sécurité sociale
21-137644,True,False,False,False,False,False,
21-137645,False,False,False,False,True,False,
21-137647,False,False,False,False,True,False,
21-137648,True,False,False,False,False,False,
21-137649,False,False,True,False,False,False,
21-137653,False,False,True,False,False,False,
21-137654,False,False,False,False,False,False,Etablissement Public de Coopération Intercommunale
21-137655,False,False,True,False,False,False,
21-137656,False,False,True,False,False,False,
21-137660,False,False,False,False,True,False,
21-137661,False,False,False,False,True,False,
21-137662,False,False,False,False,False,False,Collectivité territoriale
21-137663,False,False,False,False,False,False,CHU
21-137675,False,False,True,False,False,False,
21-137677,False,False,False,True,False,False,
21-137679,False,False,True,False,False,False,
21-137680,True,False,False,False,False,False,
21-137681,False,False,True,False,False,False,
21-137682,False,False,False,False,True,False,
21-137685,False,False,False,False,True,False,
21-137686,False,False,True,False,False,False,
21-137687,False,False,True,False,False,False,
21-137691,False,False,False,False,False,False,Parlement - Sénat
21-137698,False,False,False,False,True,False,
21-137701,False,False,True,False,False,False,
21-137704,False,False,False,False,True,False,
21-137705,False,False,True,False,False,False,
21-137708,False,False,True,False,False,False,
21-137709,False,False,True,False,False,False,
21-137710,False,False,True,False,False,False,
21-137712,False,False,False,False,True,False,
21-137714,True,False,False,False,False,False,
21-137720,False,False,True,False,False,False,
21-137725,False,False,True,False,False,False,
21-137727,False,False,True,False,False,False,
21-137730,False,False,True,False,False,False,
21-137737,False,False,False,False,True,False,
21-137739,False,False,True,False,False,False,
21-137740,False,False,False,False,False,False,autre
21-137742,True,False,False,False,False,False,
21-137743,False,False,False,False,False,False,transports en commun
21-137744,False,False,True,False,False,False,
21-137747,False,True,False,False,False,False,
21-137750,True,False,False,False,False,False,
21-137758,False,False,False,False,True,False,
21-137769,False,False,True,False,False,False,
21-137770,False,False,False,False,True,False,
21-137776,False,False,True,False,False,False,
21-137782,False,False,False,False,True,False,
21-137783,False,False,True,False,False,False,
21-137784,False,False,False,False,False,False,Communauté de Communes de la Côte d'Albâtre
21-137786,False,False,False,False,False,False,Communauté de communes
21-137788,False,False,True,False,False,False,
21-137801,False,False,False,False,False,False,syndicat mixte
21-137807,False,False,True,False,False,False,
21-137809,False,False,True,False,False,False,
21-137811,False,False,True,False,False,False,
21-137816,False,False,True,False,False,False,
21-137820,False,False,True,False,False,False,
21-137822,False,False,False,False,True,False,
21-137825,False,False,True,False,False,False,
21-137836,False,False,False,False,False,False,Santé
21-137840,False,False,False,False,True,False,
21-137845,False,False,True,False,False,False,
21-137851,False,False,False,False,False,False,Etablissement public de santé
21-137853,False,False,False,False,True,False,
21-137854,False,False,True,False,False,False,
21-137855,False,False,True,False,False,False,
21-137858,False,False,True,False,False,False,
21-137866,False,False,True,False,False,False,
21-137869,False,False,False,False,True,False,
21-137871,False,False,False,False,True,False,
21-137872,False,False,False,False,True,False,
21-137873,False,False,False,False,True,False,
21-137874,False,False,True,False,False,False,
21-137875,False,False,False,False,True,False,
21-137876,False,False,True,False,False,False,
21-137877,False,False,False,False,True,False,
21-137880,False,False,False,False,False,False,Collectivité territoriale
21-137881,False,False,True,False,False,False,
21-137886,False,False,True,False,False,False,
21-137887,False,False,True,False,False,False,
21-137889,False,False,True,False,False,False,
21-137890,False,False,False,False,True,False,
21-137891,True,False,False,False,False,False,
21-137893,False,False,True,False,False,False,
21-137895,False,False,False,False,True,False,
21-137901,False,False,True,False,False,False,
21-137905,False,False,False,False,False,False,Santé
21-137910,False,False,True,False,False,False,
21-137911,False,False,False,False,False,False,collectivité territoriale
21-137912,False,False,True,False,False,False,
21-137917,True,False,False,False,False,False,
21-137918,False,False,False,False,True,False,
21-137920,False,False,True,False,False,False,
21-137923,False,False,False,False,False,False,Enseignement supérieur
21-137924,True,False,False,False,False,False,
21-137925,False,False,False,False,False,False,autre
21-137927,False,False,False,False,True,False,
21-137929,False,False,True,False,False,False,
21-137930,True,False,False,False,False,False,
21-137932,False,False,False,False,True,False,
21-137934,False,False,False,False,True,False,
21-137936,True,False,False,False,False,False,
21-137937,False,False,True,False,False,False,
21-137939,False,False,True,False,False,False,
21-137940,False,False,False,False,True,False,
21-137944,False,False,True,False,False,False,
21-137947,True,False,False,False,False,False,
21-137948,False,False,True,False,False,False,
21-137949,False,False,True,False,False,False,
21-137951,False,False,False,False,True,False,
21-137957,True,False,False,False,False,False,
21-137962,False,False,True,False,False,False,
21-137964,False,False,False,False,True,False,
21-137967,False,False,False,False,True,False,
21-137970,False,False,False,False,True,False,
21-137974,False,False,True,False,False,False,
21-137975,False,False,True,False,False,False,
21-137985,True,False,False,False,False,False,
21-137988,False,False,False,False,True,False,
21-137993,False,False,True,False,False,False,
21-137996,False,False,True,False,False,False,
21-138004,False,False,True,False,False,False,
21-138006,False,False,True,False,False,False,
21-138007,False,False,False,False,True,False,
21-138008,False,False,True,False,False,False,
21-138011,False,False,False,False,True,False,
21-138014,False,False,True,False,False,False,
21-138015,False,False,False,False,True,False,
21-138017,False,False,False,False,False,False,Communauté de communes
21-138019,False,False,False,False,True,False,
21-138030,True,False,False,False,False,False,
21-138032,False,False,True,False,False,False,
21-138036,False,False,True,False,False,False,
21-138038,False,False,False,False,True,False,
21-138040,False,False,False,False,True,False,
21-138044,False,False,True,False,False,False,
21-138046,False,False,True,False,False,False,
21-138047,True,False,False,False,False,False,
21-138050,False,False,True,False,False,False,
21-138052,False,False,True,False,False,False,
21-138054,False,False,True,False,False,False,
21-138057,False,False,True,False,False,False,
21-138064,False,False,False,False,False,False,Etablissement Public de Santé
21-138065,False,False,True,False,False,False,
21-138066,False,False,False,False,False,False,Collectivité territoriale
21-138072,False,False,False,False,True,False,
21-138074,False,False,False,False,False,False,autre
21-138076,True,False,False,False,False,False,
21-138078,False,False,False,False,False,False,autre
21-138079,False,False,True,False,False,False,
21-138084,False,False,True,False,False,False,
21-138086,False,False,False,False,True,False,
21-138087,False,False,False,False,True,False,
21-138089,False,False,False,False,False,False,Logement social
21-138090,False,False,False,False,True,False,
21-138091,False,False,False,False,True,False,
21-138096,False,False,False,False,True,False,
21-138101,False,False,True,False,False,False,
21-138104,True,False,False,False,False,False,
21-138109,False,False,False,False,False,False,Enseignement supérieur et recherche
21-138112,False,False,True,False,False,False,
21-138113,False,False,False,False,True,False,
21-138115,False,False,True,False,False,False,
21-138120,False,False,False,False,False,False,Établissement public de coopération intercommunale
21-138123,False,False,False,False,True,False,
21-138126,False,False,True,False,False,False,
21-138127,False,False,False,False,True,False,
21-138129,False,False,False,False,True,False,
21-138134,False,False,False,False,False,False,Collectivité territoriale
21-138135,False,False,False,False,False,False,Etablissement public de santé
21-138143,False,False,False,False,True,False,
21-138144,False,False,True,False,False,False,
21-138145,False,False,False,False,False,False,Etablissement public autonome
21-138146,True,False,False,False,False,False,
21-138147,False,False,False,False,True,False,
21-138149,True,False,False,False,False,False,
21-138150,False,False,True,False,False,False,
21-138151,False,False,True,False,False,False,
21-138152,False,False,True,False,False,False,
21-138158,False,False,False,True,False,False,
21-138159,False,False,False,False,False,False,Fondation privée reconnue d'utilité publique
21-138161,False,False,True,False,False,False,
21-138162,True,False,False,False,False,False,
21-138163,True,False,False,False,False,False,
21-138164,False,False,False,False,True,False,
21-138166,False,False,False,False,False,False,Association
21-138168,False,False,False,False,True,False,
21-138169,False,False,True,False,False,False,
21-138171,False,False,False,False,True,False,
21-138173,False,False,True,False,False,False,
21-138174,False,False,True,False,False,False,
21-138175,False,False,False,False,False,False,autre
21-138176,True,False,False,False,False,False,
21-138183,True,False,False,False,False,False,
21-138185,False,False,False,False,True,False,
21-138189,False,False,True,False,False,False,
21-138193,False,False,False,False,True,False,
21-138195,False,False,True,False,False,False,
21-138197,False,False,False,False,False,False,caisse de sécurité sociale
21-138200,False,False,True,False,False,False,
21-138202,False,False,False,True,False,False,
21-138205,False,False,True,False,False,False,
21-138209,False,False,True,False,False,False,
21-138210,False,False,True,False,False,False,
21-138218,False,False,True,False,False,False,
21-138219,False,False,True,False,False,False,
21-138223,False,False,False,False,True,False,
21-138224,False,False,False,False,True,False,
21-138229,False,False,True,False,False,False,
21-138231,True,False,False,False,False,False,
21-138232,False,False,False,False,True,False,
21-138235,True,False,False,False,False,False,
21-138237,False,False,False,False,True,False,
21-138238,False,False,True,False,False,False,
21-138241,False,False,True,False,False,False,
21-138245,True,False,False,False,False,False,
21-138246,False,False,True,False,False,False,
21-138247,True,False,False,False,False,False,
21-138248,False,False,False,False,False,False,EPIC
21-138255,False,False,True,False,False,False,
21-138265,False,False,False,False,True,False,
21-138270,True,False,False,False,False,False,
21-138271,False,False,False,True,False,False,
21-138274,False,False,True,False,False,False,
21-138276,False,False,False,False,False,False,SYNDICAT MIXTE
21-138277,False,False,False,False,True,False,
21-138288,False,False,True,False,False,False,
21-138290,False,False,False,False,False,False,Aménageur et constructeur
21-138291,False,False,False,False,True,False,
21-138293,False,False,False,False,True,False,
21-138295,False,False,False,False,False,False,DEPARTEMENT
21-138296,False,False,False,False,False,False,SEM
21-138299,False,False,True,False,False,False,
21-138305,False,False,False,False,False,False,Organisme de sécurité sociale
21-138306,False,False,False,False,True,False,
21-138307,False,False,True,False,False,False,
21-138308,False,False,False,False,False,False,Métropole
21-138309,False,False,False,False,False,False,Sapeurs pompiers
21-138311,False,False,True,False,False,False,
21-138314,False,False,False,False,True,False,
21-138317,False,False,True,False,False,False,
21-138320,False,False,False,False,False,False,Etablissement Public de Coopération Intercommunale
21-138321,False,False,False,False,False,False,Commune
21-138324,False,False,True,False,False,False,
21-138325,False,False,True,False,False,False,
21-138326,False,False,False,False,False,False,OPH HLM
21-138327,False,False,False,False,True,False,
21-138328,False,False,True,False,False,False,
21-138329,False,False,False,False,True,False,
21-138335,False,False,True,False,False,False,
21-138336,False,False,False,False,False,False,autre
21-138339,False,False,False,False,True,False,
21-138340,False,False,False,False,True,False,
21-138342,True,False,False,False,False,False,
21-138343,False,False,True,False,False,False,
21-138345,False,False,False,True,False,False,
21-138348,False,False,True,False,False,False,
21-138349,False,False,True,False,False,False,
21-138355,False,False,False,False,False,False,GCSMC
21-138357,False,False,True,False,False,False,
21-138358,False,False,True,False,False,False,
21-138364,False,False,False,False,True,False,
21-138368,False,False,False,False,True,False,
21-138372,False,False,True,False,False,False,
21-138375,False,False,False,False,True,False,
21-138379,False,False,False,False,False,False,EPCI
21-138381,False,False,False,False,False,False,Etablissement Public de Santé
21-138382,False,False,False,False,True,False,
21-138384,False,False,False,False,True,False,
21-138386,False,False,True,False,False,False,
21-138387,False,False,False,False,True,False,
21-138395,False,False,True,False,False,False,
21-138403,False,False,False,False,True,False,
21-138408,False,False,False,False,False,False,Enseignement supérieur et recherche
21-138409,False,False,False,False,True,False,
21-138413,False,False,False,False,True,False,
21-138415,False,False,True,False,False,False,
21-138417,False,False,True,False,False,False,
21-138421,False,False,True,False,False,False,
21-138423,False,False,True,False,False,False,
21-138425,False,False,True,False,False,False,
21-138429,True,False,False,False,False,False,
21-138433,False,False,True,False,False,False,
21-138434,False,False,True,False,False,False,
21-138435,False,False,False,False,False,False,COMMUNE
21-138438,False,False,False,True,False,False,
21-138439,False,False,False,False,False,False,Santé
21-138441,False,False,False,False,False,False,Aide à la création d'entreprises technologiques
21-138442,True,False,False,False,False,False,
