,BOAMP_AVIS_NUM,D_18_01_Annexed1_Infructueuxouverte,D_18_02_Annexed1_Infructueuxrestreinte,D_18_03_Annexed1_Recherche,D_18_04_Annexed1_Raisonstechniques,D_18_05_Annexed1_Raisonsartistiques,D_18_06_Annexed1_Proprieteintellectuelle,D_18_07_Annexed1_Urgenceimperieuse,D_18_08_Annexed1_Marchecomplementaire,D_18_09_Annexed1_Prestationsidentiques,D_18_10_Annexed1_Laureatsconcours,D_18_11_Annexed1_Matierespremieres,D_18_12_Annexed1_Cessationactivite,D_18_13_Annexed1_Liquidateurs,D_18_14_Annexed1_Horsscope,D_18_15_Annexed1_Explication
51,21-32889,False,False,False,False,False,False,False,,False,False,,,,True,"En vertu des directives 2014/24/UE du Parlement européen et du Conseil du 26 février 2014, le montant estimé du présent marché de travaux est inférieur au seuil d'application des directives susvisées. Ce dernier n'est donc pas soumis à l'obligation de publication préalable d'un avis de publicité au JOUE"
52,21-33080,False,False,False,False,False,False,False,,False,False,,,,True,"La procédure est un marché à procédure adaptée, la publicité a été fait qu'au Boamp"
53,21-33279,False,False,False,False,False,False,False,,False,False,,,,True,Procédure adaptée non soumise à publication préalable au JOUE
54,21-33635,False,False,False,False,False,True,False,,False,False,,,,False,"Du fait d'une compétence exclusive, ce marché de maintenance ne peut être assuré que par le prestataire ayant livré et posé les matériels antivols du réseau électromagnétique et RFId des bibliothèques de la Ville de Paris. Ces matériels, nécessaires pour limiter le vol dans les bibliothèques de la Ville de Paris, nécessitent des opérations de maintenance curative en cas de panne des appareils, de même que des maintenances évolutives pour mettre à jour les interfaces logiciel ainsi que la configuration des automates de prêt.Cette maintenance est initialement assurée dans le cadre de la garantie associée aux marchés d'acquisition de ces matériels. Cette garantie de deux ans ne suffit toutefois pas à couvrir la durée de vie des matériels (bien plus longue, de l'ordre d'une quinzaine d'années environ), ce qui rend nécessaire la conclusion d'un marché de maintenance."
55,21-33768,True,False,False,False,False,False,False,,False,False,,,,False,Aucune offre n'a été déposée en réponse à une procédure ouverte
56,21-33805,False,False,False,False,False,False,False,"<?xml version=""1.0"" encoding=""UTF-16""?>
<MARCHE_COMPLEMENTAIRE xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",False,False,,,,False,Livraisons complémentaires avec le même fournisseur dans le cadre de l'article R.2122-4 du code de la commande publique.
57,21-33822,True,False,False,False,False,False,False,,False,False,,,,False,Cette procédure référence 2021.MN.5.017 fait suite à la procédure ouverte référence 2020.AO.5.029 qui a été déclarée infructueuse (procédure ayant fait l'objet de l'avis de publicité référence JO/S S233 du 30/11/2020 au JOUE).
58,21-33827,True,False,False,False,False,False,False,,False,False,,,,False,"Relance suite à aucune offre reçue pour les lots 3, 5, 10 et 13 dans le cadre d'un appel d'offres ouvert"
59,21-33856,False,False,False,False,False,True,False,,False,False,,,,False,Droit d'exclusivité du prestataire
60,21-34037,True,False,False,False,False,False,False,,False,False,,,,False,"un appel d'offres ouvert a été lancé, suite à l'avis JOUE no 2020/S 173-417240 transmis le 02/09/2020 il n'a été reçu que des offres irrégulières, la procédure a été déclarée infructueuse et une procédure négociée a été lancée conformément à l'article R2124-3 6 du code de la commande publique."
61,21-34089,False,False,False,False,False,False,False,,False,False,,,,True,"Le présent marché est passé sans publicité sans mise en concurrence préalable, pour des raisons tenant aux droits d'exclusivité du titulaire, en application des articles L2122-1 et R2122-3 3 du code de la commande publique . La société MN ZIMMER FRANCE est le distributeur exclusif pour la France Maintenance des équipements chirurgicaux de marque ZIMMER - Fourniture de pièces détachées, accessoires et consommables associés de la marque ZIMMER."
62,21-34310,False,False,False,False,False,False,False,,False,False,,,,True,Ce lot no13 est lancé dans le cadre de lapplication de larticle R2123-1°-2° du Code de la Commande Publique. Ce dernier est estimé à moins de 80 000 euro ht toutes prestations confondues.
63,21-34361,False,False,False,False,False,False,False,,False,False,,,,True,Procédure adaptée non soumise à publication préalable au JOUE
64,21-34550,False,False,False,True,False,False,False,,False,False,,,,False,"Il a été conclu un marché sans publicité ni mise en concurrence préalables, conformément aux articles L2122-1 et R2122-3 2° du Code de la commande publique. En effet, Le marché référencé en objet doit être confié au titulaire du lot 13 "" électricité "" de l'opération "" Espace Mayenne "" pour les raisons techniques suivantes :Les interventions par un tiers sur la distribution électrique de l'alimentation des projecteurs et la mise en oeuvre des protections électriques en armoires ne peuvent être autorisées avant la réception des ouvrages du lot du titulaire"
65,21-34552,False,False,False,False,False,True,False,,False,False,,,,False,Droits exclusifs détenus par la société
