BOAMP_AVIS_NUM,D_18_01_Annexed1_Infructueuxouverte,D_18_02_Annexed1_Infructueuxrestreinte,D_18_03_Annexed1_Recherche,D_18_04_Annexed1_Raisonstechniques,D_18_05_Annexed1_Raisonsartistiques,D_18_06_Annexed1_Proprieteintellectuelle,D_18_07_Annexed1_Urgenceimperieuse,D_18_08_Annexed1_Marchecomplementaire,D_18_09_Annexed1_Prestationsidentiques,D_18_10_Annexed1_Laureatsconcours,D_18_11_Annexed1_Matierespremieres,D_18_12_Annexed1_Cessationactivite,D_18_13_Annexed1_Liquidateurs,D_18_14_Annexed1_Horsscope,D_18_15_Annexed1_Explication
21-151652,False,False,False,False,False,False,False,,False,True,,,,False,"12/10/2020 : le jury 1 s'est réuni pour choisir les 3 candidats admis à la phase projet, 02/11/2020 : le Président du CCAS de l'Île d'Yeu a fixé, par arrêté, la liste des 3 candidats admis à concourir, 11/05/2021 : le jury 2 s'est réuni pour choisir le lauréat du concours, 26/05/2021 : le conseil d'administration du CCAS de l'Île d'Yeu a approuvé le classement du jury, choisi comme lauréat le groupement représenté par le cabinet GUINEE POTIN Architecture, OTEIS et Acoustibel et décidé dengager la passation dun marché sans publicité ni mise en concurrence préalables avec le lauréat du concours, conformément aux dispositions de larticle R. 2122-6 du Code de la commande publique."
21-151672,False,False,False,False,False,False,False,,False,False,,,,True,La procédure initialement suivie était un appel d'offres ouvert ; Le lot 1 a fait l'objet d'une déclaration sans suite pour cause d'infrutuosité par le fait qu'aucune offre n'a été déposée dans les délais prescrits. La procédure de passation du présent marché est la procédure négociée sans publicité ni mise en concurrence et répond aux dispositions de l'article R2122-2 du Code de la commande publique.
21-151673,False,False,False,True,False,False,False,,False,False,,,,False,": Léquipe "" Microbiote, Intestin et Inflammation "" du Centre de Recherche Saint-Antoine mène une recherche de pointe sur le microbiote intestinal. Le système de tractus digestif artificiel humain Twin-SHIME® (Mucosal-Simulator of the Human Intestinal Microbial Ecosystem), commercialisé par Prodigest est un modèle dynamique mimant l'ensemble du tractus gastro-intestinal. Il présente lavantage majeur dêtre inoculable avec du microbiote humain, ce qui permettra à léquipe "" Microbiote, Intestin et Inflammation "" de travailler avec le microbiote de sujets sains mais aussi de patients et de suivre au fil du temps la composition et l'activité du microbiote. Cet équipement est essentiel pour lavancée des projets de léquipe et constituera un équipement unique en France."
21-151793,False,False,False,False,False,True,False,,False,False,,,,False,Le système Qualysis est revendu de manière exclusive par la société Trinoma sur le territoire national. Le système de mesure électromyographique Delsys est synchronisé à l'aide du logiciel Qualysis. Ce système Delsys est revendu de manière exclusive par la société Trinoma sur le territoire national.Le système de mesure des forces tridimensionnelles AMTI est synchronisé à l'aide du logiciel Qualysis dédié. Ce système AMTI est revendu également de manière exclusive par la société Trinoma sur le territoire national.
21-151808,False,False,False,False,False,False,False,,False,False,,,,True,L'attribution du marché sans publication préalable au JOUE est légale car elle ne dépasse pas le seuil européen.
21-152715,False,False,False,False,False,False,False,,False,False,,,,True,"En vertu de la directive 2014/24/UE du parlement européen et du conseil du 26 février 2014, le présent marché de travaux, dune estimation initiale de 3 000 000euro HT (dont 989 000euro HT pour la présente phase no1) est inférieur au seuil d'application de la directive susvisée. Ce dernier n'est donc pas soumis à l'obligation de publication préalable d'un avis de marché au JOUE."
21-152798,False,False,False,False,False,False,False,,False,False,,,,True,Procédure adaptée non soumise à publication préalable au JOUE
21-152914,True,False,False,False,False,False,False,,False,False,,,,False,Cette attribution est le résultat d'une procédure négociée faisant suite à un appel d'offres alloti de 10 lots dont 4 furent classés sans suite.Cette seconde attribution concerne ces 4 lots classés sans suite qui furent l'objet de la négociation : 2 ont été finalement attribués (lots 09 et 10) et 2 ont été de nouveau classés sans suite (lots 04 et 07)
21-152981,True,False,False,False,False,False,False,,False,False,,,,False,Marché passé sans publicité ni mise en concurrence (Article R2122-2 du code de la commande publique) suite à consultation ouverte infructueuse.
21-153081,False,False,False,False,False,False,False,,False,False,,,,True,Seuil inférieur
