BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
21-50334,CC ANJOU BLEU COMMUNAUTE,24490080900016,,,FRG02,place du portSegréCedex,49500,SEGRE-EN-ANOU BLEU,,,,,alexandre.mosset@anjoubleucommunaute.fr,http://www.anjoubleucommunaute.fr,https://demat.centraledesmarches.com,,https://demat.centraledesmarches.com/7058044,https://demat.centraledesmarches.com/7058044,,False,False,,False,False
21-50335,Ville de Saint-Amand-les-Eaux,215905266,,,FRE11,65 Grand'Place CS 30209,59230,Saint amand Les Eaux,,(+33) 3-27-22-48-00,,(+33) 3-27-22-49-29,contact@saint-amand-les-eaux.fr,http://www.saint-amand-les-eaux.fr,http://www.marches.cdg596280.fr,,,,,False,True,,False,True
21-50336,Préfecture de la Haute-Marne,None,sylvie.brabant@haute-marne.gouv.fr,,,"89, rue Victoire de la MarneBP42011",52011,Chaumont,,03-25-30-22-13,,,,,,,,,,False,False,,False,False
17-81727,Ville de Longwy,None, MARTIN Arnault,,,4 Av.de la Grande Duchesse Charlotte,54400,Longwy,,03-82-44-81-64,,03-82-25-06-73,martin@mairie-longwy.fr,http://www.mairie-longwy.fr/,http://www.mairie-longwy.fr/,,,,,False,False,,False,False
21-50338,COMMUNAUTE COMMUNES DU BRIANCONNAIS,None,,,FRL02,"Les Cordeliers - 1, Rue Aspirant Jan",05100,Briançon,,,,,accueil@ccbrianconnais.fr,https://www.ccbrianconnais.fr/,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,True,,False,True
21-50340,Ville de Laon,None,service des marchés publics,,,Place du Général Leclerc,02000,Laon,,03-23-22-85-61,,,marchespublics@ville-laon.fr,http://marches.ville-laon.fr,https://www.xmarches.fr,,,,,False,False,,False,False
21-50341,COMMUNE DE MUTTERSHOLTZ,None,"M. Maximilien DE SOUSA, SGA",,,39 rue Welschinger,67600,Muttersholtz,,03-88-85-10-13,,,info@mairie-muttersholtz.fr,,,,,,,False,False,,False,False
17-59145,DISP PACA Corse DPE,None,Cellule marchés publics immobiliers,,,"Direction Interrégionale des Services Pénitentiaires SUD EST.Département des affaires immobilières.4, traverse de Rabat - B.P 121",13277,Marseille Cedex 9,,04-91-40-88-27,,04-91-40-84-82,herve.gerard@justice.fr,,https://www.marches-publics.gouv.fr,,,,,False,False,,False,False
21-50343,Mairie Scharrachbergheim irmstett,None,"Mme Isabelle LELEU, Secrétaire de mairie",mairie de Scharrachbergheim-Irmstett,,74 rue Principale,67310,Scharrachbergheim irmstett,,03-88-50-66-12,,,mairie.scharrach@wanadoo.frww,http://www.scharrachbergheim-irmstett.fr,,,,,,False,False,,False,False
21-50344,SEML ROUTE DES LASERS,None,Mme Isabelle LAPORTE,,,11 avenue de Canteranne,33600,Pessac,,,,,,http://www.route-des-lasers.fr/,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
21-50345,Université d'Aix-Marseille,None,Direction de la Commande Publique - Pôle des Marchés Publics Campus Centre,,,"58, Bd Charles Livon",13284,Marseille Cedex 7,,,,04-91-31-31-36,gregory.gueroult@univ-amu.fr,,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=738829&orgAcronyme=f2h,,,,,False,False,,False,False
21-50346,Métropole Nice Côte d'Azur,None,,,FRL03,5 rue de l'hôtel de ville,06364,Nice cedex 4,,(+33) 4-97-13-20-00,,,dao@nicecotedazur.org,http://www.e-marches06.fr,http://www.e-marches06.fr,,http://www.e-marches06.fr,http://www.e-marches06.fr,,False,True,,False,True
21-50347,COMMUNAUTE COMMUNES PAYS DE REDON,None,,,FRH03,3 rue Charles Sillard,35600,Redon,,(+33) 2-99-70-34-34,,,contact@redon-agglomeration.bzh,https://redon-agglomeration.bzh/,,,,,,False,True,,False,True
21-50348,SEML ROUTE DES LASERS,None,Mme Laporte Isabelle,,,11 avenue de Canteranne,33600,Pessac,,,,,,,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
21-50349,Communauté urbaine Le Creusot Montceau,None,Service de la Commande publique,,,BP 90069,71206,Le Creusot cédex,,03-85-77-51-51,,,marches.publics@creusot-montceau.org,http://www.creusot-montceau.org,https://marches.ternum-bfc.fr,,,,,False,False,,False,False
21-50350,Département de Maine-et-Loire,22490001900015,,service de la commande publique et des assurances,FRG02,"Hôtel du Département - Direction des finances, des affaires juridiques et de l'évaluation - 48 B boulevard Foch - CS 94104",49941,Angers cedex 9,,(+33) -02-41-81-45-83,,,commande-publique@maine-et-loire.fr,https://www.anjoumarchespublics.fr,,,https://www.anjoumarchespublics.fr,https://www.anjoumarchespublics.fr,,False,True,,False,True
21-50351,COMMUNE DE BOULOGNE BILLANCOURT,21920012800011,,Direction de la Commande publique et des achats,FR105,26 avenue André Morizet,92104,Boulogne Billancourt,,,,,marches.publics@mairie-boulogne-billancourt.fr,http://www.boulognebillancourt.com,https://marches.maximilien.fr,,https://marches.maximilien.fr,https://marches.maximilien.fr,https://marches.maximilien.fr,False,True,,False,True
21-50352,Université Jean Moulin Lyon 3,None,,Service des Marchés Publics - DAF,FRK26,1 C avenue des Frères Lumière - CS 78242,69372,Lyon cedex 08,,(+33) 4-78-78-74-35,,(+33) 4-78-78-73-14,marchespublics@univ-lyon3.fr,http://www.univ-lyon3.fr,,,,,,False,True,,False,True
21-50353,Etablissement Français du Sang,42882285200136,,Service Juridique et de la Commande publique,FRL04,"149, boulevard Baille",13005,Marseille,,(+33) 4-91-17-28-20,,,marchespublics.alpm@efs.sante.fr,https://dondesang.efs.sante.fr/,,,,,,False,True,,False,True
21-50354,Département de Vaucluse,None,Pôle Aménagement - Direction des Bâtiments et Architecture,,,Rue VialaCS 60516,84909,AVIGNON CEDEX 9,,,,,,http://www.vaucluse.fr,,,,,,False,False,,False,False
21-50355,POLE EMPLOI,None,,,FR,Immeuble le Cinetic DAFG DAM 1-5 avenue du Dr. GLEY,75987,Paris cedex 20,,,,,damfonct.00171@pole-emploi.fr,http://www.pole-emploi.fr,http://www.marches-publics.gouv.fr,,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=724405&orgAcronyme=h8j,http://www.marches-publics.gouv.fr,,False,True,,False,True
21-50356,Ministère de la justice,None,,,FR,"Ministère de la justice, 13, place Vendôme",75001,Paris,,,,,marches.ssic-sg@justice.gouv.fr,http://www.justice.gouv.fr,,,,,,False,True,,False,True
21-50357,GRAND PARIS GRAND EST,None,"M. MAURIN Fabrice, EPT Grand Paris Grand Est",,,11 Boulevard du Mont d'Est,93160,Noisy le grand,,,,,,https://www.grandparisgrandest.fr/fr,,,,,,False,False,,False,False
21-50358,METROPOLE NICE COTE D AZUR,None, M. Le Président,,,5 rue de l'hôtel de Ville,06364,Nice cedex 4,,(+33) 4-97-13-44-70,,,dao@nicecotedazur.org,https://www.e-marches06.fr,https://www.e-marches06.fr,,,,,False,False,,False,False
21-50360,Lycée Janson de Sailly,None,,Marc GUILLEN,FR,106  rue de la Pompe,75116,PARIS,,,,,marchespublics@janson-de-sailly.fr,http://www.janson-de-sailly.fr,https://www.marches-publics.gouv.fr/?page=entreprise.AccueilEntreprise,,https://www.marches-publics.gouv.fr/?page=entreprise.AccueilEntreprise,https://www.marches-publics.gouv.fr/?page=entreprise.AccueilEntreprise,,False,True,,False,True
21-50361,Conseil général du Gard,22300001900073,,,FRJ12,3 rue Guillemette,30044,Nîmes,,,,,nepasutiliser@gard.fr,http://www.gard.fr,https://marchespublics.gard.fr/?page=entreprise.EntrepriseHome,,https://marchespublics.gard.fr/?page=entreprise.EntrepriseHome,https://marchespublics.gard.fr/?page=entreprise.EntrepriseHome,,False,True,,False,True
21-50362,COMMUNAUTE COMMUNES PAYS DE REDON,None,,,FRH03,3 rue Charles Sillard,35600,Redon,,(+33) 2-99-70-34-34,,,contact@redon-agglomeration.bzh,https://redon-agglomeration.bzh/,,,,,,False,True,,False,True
19-91228,COMMUNE DE MAIZIERES LES METZ,None,,Moise KOUNDOUNO,FRF33,GRAND-RUE,57282,Maizières-lès-metz,,(+33) 3-87-80-11-23,,(+33) 3-87-51-77-16,mkoundouno@maizieres-les-metz.fr,http://www.ville-maizieres-les-metz.fr/,https://webmarche.adullact.org,,,,,False,True,,False,True
21-50364,COMMUNE DE COIGNIERES,None,"M. ALLOUARD Stéphane, MAIRIE DE COIGNIERES",,,Place de l'église - CS70521,78317,Coignières cedex,,,,,,http://www.coignieres.fr,,,,,,False,False,,False,False
15-142202,Ville de Mont de Marsan,None,Service Commande Publique,,,2 Place du Général Leclerc BP 305,40000,Mont de Marsan,,,,,marches.publics@montdemarsan.fr,http://www.montdemarsan.fr,http://marchespublics.landespublic.org,,,,,False,False,,False,False
21-50366,CAISSE REGIONALE ASSURANCE MALADIE,None,M. Chouli Nordine,,,17/19 Avenue de Flandre,75954,Paris,,,,,dro-diams.travaux.cramif@assurance-maladie.fr,,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
21-50367,COMMUNAUTE D'AGGLO DU BASSIN DE BRIVE,20004317200010,,,FRI21,9 avenue Léo Lagrange,19103,Brive,,(+33) 5-55-74-10-00,,,marchespublics@agglodebrive.fr,http://www.marches-publics.info,http://www.marches-publics.info/,,http://www.marches-publics.info/,http://www.marches-publics.info/,,True,False,,False,True
21-50368,Mairie de BRIVE LA GAILLARDE,None," Soulier Frédéric, Maire",,,Place Jean Charbonnel BP 80433,19312,Brive,,05-55-92-39-39,,,marchespublics@agglodebrive.fr,https://www.marches-publics.info/,https://www.marches-publics.info/,,,,,False,False,,False,False
21-50369,DEPARTEMENT DE LA MAYENNE,None, le Président,,,"39 rue Mazagran, CS 21429",53014,LAVAL,,02-43-66-54-19,,,sjmpa@lamayenne.fr,http://www.lamayenne.fr,https://www.lamayenne.fr,,,,,False,False,,False,False
21-50370,Mairie du Tampon,21974022200019,,,FRY4,256 Rue Hubert Delisle,97430,Le Tampon,,,,,correspondre@aws-france.com,https://agysoft.marches-publics.info,https://agysoft.marches-publics.info,,https://agysoft.marches-publics.info,https://agysoft.marches-publics.info,,False,True,,False,True
21-50371,Conseil Départemental de l AVEYRON,None,Monsieur le Président du Conseil Départemental,,,Direction des Routes et des InfrastructuresRoute du monastèreCS10024,12450,Flavin,,05-65-59-34-20,,,,http://www.aveyron.fr,http://www.aveyron.fr,,,,,False,False,,False,False
21-50372,ENTRE BIEVRE ET RHONE,None,"Mme DEZARNAUD Sylvie, Présidente",,,Rue du 19 mars 1962,38550,SAINT MAURICE L EXIL,,04-74-29-31-00,,,marches-publics@entre-bievreetrhone.fr,http://entre-bievreetrhone.fr,http://www.marches-publics.info,,,,,False,False,,False,False
21-50373,CTRE COM ACTION SOCIALE DE MASSY,None," SAMSOEN Nicolas, Président",,,1 avenue du Général de Gaulle BP 20101,91305,MASSY,,01-60-13-30-00,,,correspondre@aws-france.com,http://www.ville-massy.fr,http://www.marches-publics.info,,,,,False,False,,False,False
21-50374,ville de Clichy-sous-bois,None,M.le maire,,,Place du 11 Novembre 1918,93390,Clichy-sous-Bois,,,,,,,http://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2021_mGupJqv7-P&v=1&selected=0,,,,,False,False,,False,False
21-50375,COMMUNAUTE D AGGLO MARNE ET GONDOIRE,None," MICHEL Jean-Paul, Président",,,"1 rue de l'Etang, CS 20069 , Bussy Saint Martin",77603,MARNE LA VALLEE,,,,,commandepublique@marneetgondoire.fr,http://www.marneetgondoire.fr/,http://www.marneetgondoire.fr/,,,,,False,False,,False,False
21-50376,Ministère de la justice,None,,,FR,,None,Paris,,,,,marches.ssic-sg@justice.gouv.fr,http://www.justice.gouv.fr/,,,,,,False,True,,False,True
21-50377,Ville d'Annecy,None, Monsieur le Maire,,,Esplanade de l'Hôtel-de-Ville BP 2305,74011,Annecy,,04-50-33-65-59,,,marchespublics@annecy.fr,http://www.annecy.fr,http://www.annecy.fr,,,,,False,False,,False,False
21-50378,MINARM/DMAé,None,Monsieur le sous-directeur achats de la DMAé,,,"Direction de la Maintenance Aéronautique - Balard Parcelle Victor, 60 boulevard du Général Martial Valin, CS 21623",75509,Paris cedex 15,,(+33) 5-33-89-78-25,,,dmae-marches-publics.trait.fct@intradef.gouv.fr,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,,,,,False,False,,False,False
21-50379,Mairie de BRIVE LA GAILLARDE,21190310900018,,,FRI21,Place Jean Charbonnel,19312,Brive,,(+33) 5-55-92-39-39,,,marchespublics@agglodebrive.fr,https://www.marches-publics.info/,https://www.marches-publics.info/,,,,,False,True,,False,True
21-50380,Communauté agglomération du Grand Dax,None,,Mme Rouffignac-Brunier Gaëlle,FRI13,20 avenue de la Gare CS 10075,40102,Dax cedex,,(+33) 5-58-56-39-40,,(+33) 5-58-56-39-41,commande.publique@grand-dax.fr,http://www.grand-dax.fr,http://marchespublics.landespublic.org,,,,,False,True,,False,True
21-50381,Département de la Haute-Savoie,22740001700074,,,FRK28,23 rue de la Paix,74041,Annecy,,,,,dcpfour-serv@hautesavoie.fr,http://www.hautesavoie.fr,http://www.hautesavoie.fr,,,,,False,True,,False,True
21-50383,CPAM Hautes Pyrénnées,None,,,FRJ26,8 place au Bois,65000,TARBES,,,,,pole.achats.occitanie.cpam-tarbes@assurance-maladie.fr,http://www.ameli.fr,http://www.achatpublic.com,,http://www.achatpublic.com,https://cnamts.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2021_aRAqoxUvcq,,False,True,,False,True
17-80567,Département des Bouches du Rhône,None,,DGAC - Service Marchés - Bureau B 2143,FR824,52 avenue de saint just,13256,Marseille cedex,,(+33) 4-13-31-21-78,,(+33) 4-13-31-21-95,julien.saliba@cg13.fr,https://marches.cg13.fr,,,,,,False,True,,False,True
21-50385,Ville de Passy,21740208000014,,,FRK28,1 place de la mairie,74190,Passy,,(+33) 4-50-78-41-43,,(+33) 4-50-78-43-21,c.gavard@mairie-passy.fr,http://www.ville-passy-mont-blanc.fr/,http://www.mp74.fr,,http://www.mp74.fr,http://www.mp74.fr,,False,True,,False,True
21-50387,Le Mans Métropole - Communauté Urbaine,None, Le Président,,,"Pôle Marchés et Achats Publics, CS40010- 16 avenue François Mitterrand, Le Condorcet",72039,Le Mans,,02-43-47-37-31,,02-43-47-37-40,marches@lemans.fr,http://www.lemans.fr,http://www.sarthe-marchespublics.fr,,,,,False,False,,False,False
21-50388,MINARM/DMAé,None,Monsieur le sous-directeur achats de la DMAé,,,"Direction de la Maintenance Aéronautique - Balard Parcelle Victor, 60 boulevard du général Martial Valin - CS21623",75509,Paris Cedex 15,,(+33) 5-33-05-38-25,,,dmae-marches-publics.trait.fct@intradef.gouv.fr,http://www.marches-publics.gouv.fr//?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=442587&orgAcronyme=g7h,http://www.marches-publics.gouv.fr//?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=442587&orgAcronyme=g7h,,,,,False,False,,False,False
21-50389,Ville de Colombes,21920025000013,,,FR105,Place de la République,92700,Colombes,,(+33) 1-47-60-80-00,,,marches-publics@mairie-colombes.fr,http://marchespublics.colombes.fr,http://marchespublics.colombes.fr,,,,,False,True,,False,True
21-50390,COM D AGGLO REG NAZAIRIENNE ESTUAIRE,None," SAMZUN DAVID, Monsieur le Président",,,4 av. du Commandant l'Herminier,44605,Saint-Nazaire,,,,02-40-00-40-38,marchespublics@agglo-carene.fr,http://www.agglo-carene.fr/,http://www.agglo-carene.fr/demarches-et-infos-pratiques/marches-publics-414.html,,,,,False,False,,False,False
21-50391,SCE DEPARTEMENTAL INCENDIE ET SECOURS,None, du Conseil d'Administration Président,,,5 rue de l'Arsenal BP 10002,03401,YZEURE,,04-70-35-80-00,,,contact@sdis03.fr,http://www.sdis03.fr,https://www.agysoft.marches-publics.info,,,,,False,False,,False,False
