,BOAMP_AVIS_NUM,D_03_01_Typepouvoiradjudicateur_Minautoritenationale,D_03_02_Typepouvoiradjudicateur_Agencenational,D_03_03_Typepouvoiradjudicateur_Autotriteregional,D_03_04_Typepouvoiradjudicateur_Agenceregional,D_03_05_Typepouvoiradjudicateur_Orgdroitpublic,D_03_06_Typepouvoiradjudicateur_Institutioneuropeenne,D_03_07_Typepouvoiradjudicateur_Autre
2627,21-64329,False,False,True,False,False,False,
2628,21-64333,False,False,False,False,True,False,
2629,21-64337,False,False,False,False,True,False,
2630,21-64338,False,False,False,False,False,False,collectivité territoriale à statut particulier
2631,21-64339,False,False,True,False,False,False,
2632,21-64348,False,False,False,False,False,False,EPCI
2633,21-64351,False,False,False,False,False,False,Etablissement public à caractère industriel et commercial
2634,21-64354,False,False,False,False,False,False,collectivité territoriale
2635,21-64357,False,False,False,False,False,False,collectivité territoriale à statut particulier
2636,21-64362,False,False,False,True,False,False,
2637,21-64368,False,False,True,False,False,False,
2638,21-64369,False,False,True,False,False,False,
2639,21-64375,False,False,False,False,False,False,autre
2640,21-64376,False,False,False,False,True,False,
2641,21-64377,False,False,False,False,False,False,collectivité territoriale à statut particulier
2642,21-64384,False,False,True,False,False,False,
2643,21-64387,False,False,False,False,False,False,Etablissement Public de Santé Mentale
2644,21-64389,False,False,True,False,False,False,
2645,21-64390,True,False,False,False,False,False,
2646,21-64393,False,False,False,False,True,False,
2647,21-64396,False,False,False,False,False,False,Aide à la création d'entreprise
2648,21-64397,False,False,True,False,False,False,
2649,21-64398,False,False,False,False,False,False,Lycée Polyvalent
2650,21-64399,False,False,False,False,False,False,Chambre de Commerce et d'Industrie
2651,21-64406,False,False,True,False,False,False,
2652,21-64408,False,False,True,False,False,False,
2653,21-64414,False,False,False,False,False,False,Enseignement Supérieur
2654,21-64417,False,False,False,False,False,False,Établissement public
2655,21-64422,False,False,False,False,False,False,Santé
2656,21-64423,True,False,False,False,False,False,
2657,21-64424,False,False,False,False,False,False,Aide à la création d'entreprise
2658,21-64429,False,False,True,False,False,False,
2659,21-64433,False,False,True,False,False,False,
2660,21-64434,False,False,False,False,False,False,Etablissement public de coopération intercommunale
2661,21-64435,False,False,False,False,False,False,Aide à la création d'entreprise
2662,21-64439,False,False,True,False,False,False,
2663,21-64441,True,False,False,False,False,False,
2664,21-64442,True,False,False,False,False,False,
2665,21-64446,False,False,True,False,False,False,
2666,21-64450,False,False,False,False,False,False,autre
2667,21-64451,False,False,False,False,False,False,santé
2668,21-64459,False,False,True,False,False,False,
2669,21-64461,False,False,False,False,True,False,
2670,21-64465,False,False,True,False,False,False,
2671,21-64468,False,False,True,False,False,False,
2672,21-64469,False,False,True,False,False,False,
2673,21-64470,False,False,False,False,True,False,
2674,21-64471,False,False,True,False,False,False,
2675,21-64472,False,False,True,False,False,False,
2676,21-64478,False,False,False,False,False,False,Communauté de Communes
2677,21-64479,False,False,False,False,False,False,EPLE (établissement public local d'enseignement)
2678,21-64483,False,False,False,False,True,False,
2679,21-64489,False,False,False,False,True,False,
2680,21-64490,False,False,False,False,True,False,
2681,21-64491,True,False,False,False,False,False,
2682,21-64494,False,False,True,False,False,False,
2683,21-64495,False,False,True,False,False,False,
2684,21-64497,False,False,True,False,False,False,
2685,21-64500,True,False,False,False,False,False,
2686,21-64502,True,False,False,False,False,False,
2687,21-64504,False,False,False,False,True,False,
2688,21-64505,False,False,True,False,False,False,
2689,21-64506,False,True,False,False,False,False,
2690,21-64507,False,False,False,False,True,False,
2691,21-64508,False,False,True,False,False,False,
2692,21-64509,False,False,False,False,True,False,
2693,21-64510,False,False,False,False,True,False,
2694,21-64511,False,False,True,False,False,False,
2695,21-64512,False,False,True,False,False,False,
2696,21-64516,False,False,True,False,False,False,
2697,21-64523,True,False,False,False,False,False,
2698,21-64527,True,False,False,False,False,False,
2699,21-64531,False,False,False,False,True,False,
2700,21-64532,False,False,False,False,True,False,
2701,21-64534,False,False,False,False,True,False,
2702,21-64538,False,False,False,False,True,False,
2703,21-64539,False,False,True,False,False,False,
2704,21-64540,False,False,False,True,False,False,
2705,21-64544,False,False,True,False,False,False,
2706,21-64546,False,False,True,False,False,False,
2707,21-64550,False,False,False,False,True,False,
2708,21-64551,False,False,True,False,False,False,
2709,21-64552,False,False,True,False,False,False,
