BOAMP_AVIS_NUM,D_03_01_Typepouvoiradjudicateur_Minautoritenationale,D_03_02_Typepouvoiradjudicateur_Agencenational,D_03_03_Typepouvoiradjudicateur_Autotriteregional,D_03_04_Typepouvoiradjudicateur_Agenceregional,D_03_05_Typepouvoiradjudicateur_Orgdroitpublic,D_03_06_Typepouvoiradjudicateur_Institutioneuropeenne,D_03_07_Typepouvoiradjudicateur_Autre
21-151308,False,False,False,False,False,False,autre
21-151310,False,False,True,False,False,False,
21-151311,False,False,True,False,False,False,
21-151313,False,False,True,False,False,False,
21-151314,False,False,True,False,False,False,
21-151316,False,False,False,False,True,False,
21-151323,False,False,True,False,False,False,
21-151328,False,False,True,False,False,False,
21-151330,False,False,True,False,False,False,
21-151331,False,False,False,False,False,False,Fondation partenariale
21-151338,False,False,False,False,False,False,Santé
21-151342,False,False,True,False,False,False,
21-151344,False,False,False,False,False,False,Ordre professionnel
21-151346,False,False,False,False,False,False,Établissement de santé
21-151347,False,False,False,False,True,False,
21-151348,False,False,False,False,False,False,Etablissement public de coopération intercommunale
21-151349,False,False,False,False,True,False,
21-151351,False,False,True,False,False,False,
21-151353,False,False,False,False,False,False,Établissement Public de Coopération Culturelle sous forme d'Établissement Public Industriel et Commercial
21-151355,False,False,False,False,True,False,
21-151356,False,False,True,False,False,False,
21-151357,False,False,False,False,True,False,
21-151358,False,False,False,False,True,False,
21-151362,False,False,False,False,True,False,
21-151363,False,False,True,False,False,False,
21-151364,False,False,False,False,True,False,
21-151366,False,False,False,False,True,False,
21-151367,False,False,False,False,False,False,autre
21-151369,False,False,False,False,True,False,
21-151370,False,True,False,False,False,False,
21-151372,False,False,False,False,True,False,
21-151373,False,False,False,False,True,False,
21-151374,False,False,False,False,False,False,autre
21-151375,False,False,False,False,False,False,autre
21-151381,False,False,False,False,False,False,Établissement Public de Coopération Culturelle sous forme d'Établissement Public Industriel et Commercial
21-151382,False,False,False,False,True,False,
21-151383,False,False,False,False,True,False,
21-151387,False,False,True,False,False,False,
21-151404,False,False,False,False,False,False,collectivité territoriale
21-151407,False,False,False,False,False,False,collectivité territoriale
21-151409,True,False,False,False,False,False,
21-151415,False,False,False,False,False,False,Commune
21-151418,True,False,False,False,False,False,
21-151421,False,False,False,False,True,False,
21-151422,False,False,True,False,False,False,
21-151423,False,False,True,False,False,False,
21-151426,False,False,True,False,False,False,
21-151429,False,False,True,False,False,False,
21-151439,False,False,False,False,False,False,SAEM
21-151447,False,False,True,False,False,False,
21-151448,False,False,False,False,True,False,
21-151449,False,False,False,False,False,False,Etablissement public de santé
21-151455,False,False,True,False,False,False,
21-151460,False,False,False,False,True,False,
21-151462,False,False,True,False,False,False,
21-151464,False,False,False,False,True,False,
21-151472,False,False,True,False,False,False,
21-151473,False,False,False,False,True,False,
21-151474,False,False,True,False,False,False,
21-151476,False,False,False,False,True,False,
21-151479,False,False,True,False,False,False,
21-151484,False,False,False,False,False,False,Assemblée parlementaire
21-151485,True,False,False,False,False,False,
21-151488,False,False,True,False,False,False,
21-151496,False,False,True,False,False,False,
21-151499,False,True,False,False,False,False,
21-151500,False,False,False,False,False,False,Organisme de droit privé de la MSA
21-151504,True,False,False,False,False,False,
21-151506,False,False,False,False,True,False,
21-151509,False,False,False,False,False,False,Parlement
21-151510,False,False,False,False,False,False,Environnement
21-151516,False,False,False,False,True,False,
21-151523,False,False,True,False,False,False,
21-151530,False,False,False,False,True,False,
21-151532,False,False,True,False,False,False,
21-151533,False,False,False,False,False,False,autre
21-151539,False,False,False,False,True,False,
21-151540,False,False,False,False,False,False,autre
21-151541,False,False,True,False,False,False,
21-151542,False,False,True,False,False,False,
21-151543,False,False,True,False,False,False,
21-151546,False,False,False,False,False,False,autre
21-151547,False,False,True,False,False,False,
21-151549,False,False,True,False,False,False,
21-151550,False,False,False,False,False,False,autre
21-151551,False,False,False,False,True,False,
21-151554,False,False,False,False,True,False,
21-151555,False,False,False,False,True,False,
21-151557,False,False,False,False,False,False,Opérateur de compétences
21-151559,False,False,True,False,False,False,
21-151560,False,False,False,False,True,False,
21-151562,False,False,False,False,True,False,
21-151564,False,False,False,False,False,False,Opérateur de Compétences
21-151565,False,False,True,False,False,False,
21-151566,True,False,False,False,False,False,
21-151570,False,False,False,False,True,False,
21-151571,False,False,False,False,False,False,Établissement public de santé
21-151572,True,False,False,False,False,False,
21-151574,False,False,False,False,True,False,
21-151575,False,False,False,False,True,False,
21-151578,False,False,False,False,True,False,
21-151579,False,False,True,False,False,False,
21-151583,False,False,False,False,True,False,
21-151586,False,False,True,False,False,False,
21-151589,False,False,False,False,True,False,
21-151590,False,False,True,False,False,False,
21-151596,False,False,False,False,False,False,Union des caisses nationales de Sécurité sociale-centrale d'achats
21-151598,False,False,False,False,False,False,Organisation professionnelle de droit privé exerçant des missions de services publics
21-151601,False,False,True,False,False,False,
21-151602,False,False,False,False,True,False,
21-151604,False,False,True,False,False,False,
21-151609,False,False,True,False,False,False,
21-151610,False,False,True,False,False,False,
21-151616,False,False,True,False,False,False,
21-151624,False,False,True,False,False,False,
21-151625,False,False,False,False,True,False,
21-151629,False,False,True,False,False,False,
21-151630,False,False,True,False,False,False,
21-151636,False,False,True,False,False,False,
21-151641,False,False,False,False,True,False,
21-151642,False,False,False,False,False,False,SAEML
21-151649,False,False,True,False,False,False,
21-151651,False,False,True,False,False,False,
21-151652,False,False,False,False,False,False,Centre Communal d'Action Social
21-151657,False,False,False,False,True,False,
21-151659,False,False,True,False,False,False,
21-151660,False,False,True,False,False,False,
21-151662,False,False,False,False,True,False,
21-151663,False,False,False,False,True,False,
21-151664,False,False,False,False,False,False,Etablissement public de coopération intercommunale
21-151666,False,False,True,False,False,False,
21-151669,False,False,False,False,False,False,Etablissement Public de Santé
21-151672,False,False,True,False,False,False,
21-151673,False,False,False,False,True,False,
21-151674,False,False,True,False,False,False,
21-151675,False,False,True,False,False,False,
21-151676,False,False,True,False,False,False,
21-151677,False,False,False,False,True,False,
21-151680,False,False,True,False,False,False,
21-151682,True,False,False,False,False,False,
21-151683,False,False,False,False,False,False,Collectivité territoriale - Mairie
21-151684,False,False,True,False,False,False,
21-151685,False,False,True,False,False,False,
21-151686,False,False,False,False,False,False,Etablissement public autonome
21-151689,False,False,True,False,False,False,
21-151690,False,False,True,False,False,False,
21-151696,False,False,True,False,False,False,
21-151701,False,False,False,False,True,False,
21-151702,False,False,True,False,False,False,
21-151706,False,False,True,False,False,False,
21-151707,False,False,False,False,True,False,
21-151711,False,False,True,False,False,False,
21-151712,False,False,True,False,False,False,
21-151714,False,False,False,False,True,False,
21-151722,False,False,False,False,False,False,SANTE
21-151724,False,False,False,False,False,False,Société Publique Locale - Personne morale de droit privé
21-151726,False,False,False,False,False,False,association
21-151729,False,False,False,False,True,False,
21-151733,False,False,False,False,True,False,
21-151739,False,False,False,False,False,False,ETABLISSEMENT PUBLIC DE SANTE
21-151740,False,False,False,False,False,False,ETABLISSEMENT PUBLIC DE SANTE
21-151742,False,False,False,False,False,False,ETABLISSEMENT PUBLIC DE SANTE
21-151751,True,False,False,False,False,False,
21-151754,True,False,False,False,False,False,
21-151756,False,False,False,False,False,False,EPIC
21-151759,False,False,False,False,True,False,
21-151764,False,False,False,False,False,False,GIE
21-151765,False,False,True,False,False,False,
21-151766,False,False,False,False,True,False,
21-151769,False,False,False,True,False,False,
21-151772,False,False,True,False,False,False,
21-151774,False,False,False,False,True,False,
21-151777,False,False,False,True,False,False,
21-151778,False,False,False,False,True,False,
21-151779,False,False,False,False,False,False,autre
21-151781,False,False,False,True,False,False,
21-151782,False,False,False,False,False,False,autre
21-151784,False,False,True,False,False,False,
21-151785,False,False,True,False,False,False,
21-151787,False,False,False,False,False,False,Santé
21-151788,False,False,False,False,True,False,
21-151789,False,False,True,False,False,False,
21-151793,False,False,False,False,True,False,
21-151801,False,False,False,False,False,False,Entité adjudicatrice
21-151802,False,False,False,False,True,False,
21-151806,False,False,True,False,False,False,
21-151808,False,False,False,False,False,False,Protection sociale
21-151823,False,False,False,False,True,False,
21-151824,False,False,False,False,True,False,
