BOAMP_AVIS_NUM,G_04_01_Indexation_Datepublication,G_04_02_Indexation_Datelimitereponse,G_04_03_Indexation_Datefindiffusion,G_04_04_Indexation_Classes,G_04_04_01_Indexation_Classes_Classe,G_04_04_01_01_Indexation_Classes_Classe_Code,G_04_04_01_02_Indexation_Classes_Classe_Libelle,G_04_05_Indexation_Descripteurs,G_04_05_01_Indexation_Descripteurs_Descripteur,G_04_05_01_01_Indexation_Descripteurs_Descripteur_Code,G_04_05_01_02_Indexation_Descripteurs_Descripteur_Libelle,G_04_06_Indexation_Criteressociauxenv,G_04_06_01_Indexation_Criteressociauxenv_Sociaux,G_04_06_02_Indexation_Criteressociauxenv_Environnementaux,G_04_07_Indexation_Deppublication,G_04_08_Indexation_Depprestation,G_04_09_Indexation_Resumeobjet
21-163827,2021-12-14 00:00:00,,2022-03-13 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,345,Tous corps d'état,CF_NIV_SUIV,False,False,79,,Construction d'un EHPAD de 57 lits + 20 lits de foyer de vie pour le Centre Hospitalier de Mauléon
21-163828,2021-12-17 00:00:00,,2022-03-14 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,186,Logiciel,CF_NIV_SUIV,False,False,75,,"Renouvellement du marché de concession de droit d'usage et de suivi-support des logiciels ibm pour machine z/series, concession de droit d'usage et suivi-support de licences supplémentaires"
21-163828,2021-12-17 00:00:00,,2022-03-14 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,454,Informatique (maintenance serveurs et réseaux),CF_NIV_SUIV,False,False,75,,"Renouvellement du marché de concession de droit d'usage et de suivi-support des logiciels ibm pour machine z/series, concession de droit d'usage et suivi-support de licences supplémentaires"
21-163829,2021-12-16 00:00:00,,2022-01-14 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,274,Prestations de services,CF_NIV_SUIV,False,False,31,,Mandat de Maîtrise d'ouvrage déléguée
21-163830,2021-12-14 00:00:00,,2022-03-13 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,274,Prestations de services,CF_NIV_SUIV,False,False,75,,Prestations service de santé auprès du personnel de l'EPPDCSI
21-163831,2021-12-14 00:00:00,,2022-03-13 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,274,Prestations de services,CF_NIV_SUIV,False,False,92,,"Mission de gestion locative, technique et sociale pour les logements passerelles"
21-163832,2021-12-24 00:00:00,,2022-02-28 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,133,Fibre optique,CF_NIV_SUIV,False,False,18,,L'avis de modification relatif à la résiliation de DSP relative à l'exploitation et la commercialisation d'un réseau de communications électroniques THD phase 1 attribuée le 24 octobre 2016
21-163832,2021-12-24 00:00:00,,2022-02-28 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,133,Fibre optique,CF_NIV_SUIV,False,False,36,,L'avis de modification relatif à la résiliation de DSP relative à l'exploitation et la commercialisation d'un réseau de communications électroniques THD phase 1 attribuée le 24 octobre 2016
21-163833,2021-12-16 00:00:00,,2022-03-11 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,163,Informatique (prestations de services),CF_NIV_SUIV,False,False,75,,"SERVICES D'HERBERGEMENT EXTERNALISE DE TYPE "" CLOUD PRIVE "" POUR LE RESEAU DE LA CNAVPL"
21-163833,2021-12-16 00:00:00,,2022-03-11 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,453,Informatique (assistance),CF_NIV_SUIV,False,False,75,,"SERVICES D'HERBERGEMENT EXTERNALISE DE TYPE "" CLOUD PRIVE "" POUR LE RESEAU DE LA CNAVPL"
21-163834,2021-12-31 00:00:00,,2022-03-29 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,162,Informatique (matériel),CF_NIV_SUIV,False,False,93,,Fourniture et maintenance de solutions de sécurité et fourniture de prestations annexes
21-163834,2021-12-31 00:00:00,,2022-03-29 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,163,Informatique (prestations de services),CF_NIV_SUIV,False,False,93,,Fourniture et maintenance de solutions de sécurité et fourniture de prestations annexes
21-163834,2021-12-31 00:00:00,,2022-03-29 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,454,Informatique (maintenance serveurs et réseaux),CF_NIV_SUIV,False,False,93,,Fourniture et maintenance de solutions de sécurité et fourniture de prestations annexes
21-163835,2021-12-16 00:00:00,,2022-01-17 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,343,Textile,CF_NIV_SUIV,False,False,42,,"Délégation De Service Public Concernant La Recuperation Des Textiles, Linges De Maison Et Chaussures Usages Sur Le Territoire De Saint-Etienne Metropole"
21-163835,2021-12-16 00:00:00,,2022-01-17 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,404,Déchets non ménagers (prestations),CF_NIV_SUIV,False,False,42,,"Délégation De Service Public Concernant La Recuperation Des Textiles, Linges De Maison Et Chaussures Usages Sur Le Territoire De Saint-Etienne Metropole"
21-163837,2021-12-14 00:00:00,,2022-01-17 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,115,Equipements spécialisés,CF_NIV_SUIV,False,False,86,,"Achat d'une caméra rapide monochrome destinée à équiper divers bancs d'essais de l'équipe "" Structures de flammes et combustion turbulente """
21-163837,2021-12-14 00:00:00,,2022-01-17 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,188,Laboratoire (matériel),CF_NIV_SUIV,False,False,86,,"Achat d'une caméra rapide monochrome destinée à équiper divers bancs d'essais de l'équipe "" Structures de flammes et combustion turbulente """
21-163838,2021-12-25 00:00:00,,2022-02-14 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,474,Véhicules (location),CF_NIV_SUIV,False,False,12,,location d'un porteur spécifique pour la réalisation de travaux d'élagage au lamier
21-163839,2021-12-16 00:00:00,,2022-01-20 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,204,Matériel électronique,CF_NIV_SUIV,False,False,94,,CAPTEURS GNSS
21-163839,2021-12-16 00:00:00,,2022-01-20 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,210,Matériel de transmission,CF_NIV_SUIV,False,False,94,,CAPTEURS GNSS
