BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
21-64896,C.G.O.S,None,"M. Ramon Benoit, Acheteur",,,101 rue de Tolbiac,75654,Paris cedex 13,,,,,,,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
21-64897,EPTB Seine Grands Lacs,None,,,FR101,Direction Finances Commande Publique 12 rue Villiot,75012,Paris,,(+33) 1-44-75-29-29,,,marches@seinegrandslacs.fr,https://seinegrandslacs.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2021_HYWzZrBw7r,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2021_HYWzZrBw7r,,False,True,,False,True
21-64898,Université de Reims Champagne Ardenne,None,"M. TIDJANI Mahamat, Chargé des Achats et des Marchés",,,"2, Avenue Robert Schuman",51100,Reims,,03-26-91-89-82,,,direction.achats@univ-reims.fr,http://www.univ-reims.fr/,http://www.univ-reims.fr/,,,,,False,False,,False,False
21-64899,COMMUNE DE MATOURY,None, Winston JOLIBOIS,,,1 rue Victor Céïde,97351,Matoury,,,,,marches@mairie-matoury.fr,https://www.marches-securises.fr,https://www.marches-securises.fr,,,,,False,False,,False,False
21-64900,CENTRE HOSPITALIER D AVIGNON,None,M. Le Directeur,,,305 rue Raoul Follereau,84902,Avignon cedex 9,,04-32-75-39-33,,04-90-87-17-30,cellule-marches@ch-avignon.fr,http://www.ch-avignon.fr,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=754789&orgAcronyme=x7c,,,,,False,False,,False,False
21-64901,HADOPI,None,,,FR101,4 rue du Texel,75014,Paris,,(+33) 9-69-32-90-90,,,marches-publics@hadopi.fr,https://www.hadopi.fr/,http://hadopi.e-marchespublics.com,,http://hadopi.e-marchespublics.com,http://hadopi.e-marchespublics.com,,False,True,,False,True
21-64902,CARSAT Centre Ouest,None,,,FRI23,37 Avenue du Président René Coty,87048,Limoges cedex,,,,,corinne.lameyre@carsat-centreouest.fr,https://www.achatpublic.com,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2021_ZOQ03YYYwT,https://www.achatpublic.com,,False,True,,False,True
21-64903,CCI de Cherbourg-Cotentin,None,Monsieur le président cci ouest normandie,,,CCIT Ouest Normandie - 86 Rue de l'Exode,50000,Saint-lô,,,,,,http://www.cciouestnormandie.cci.fr,http://www.marches-publics.gouv.fr,,,,,False,False,,False,False
21-64904,Agglomération Royan Atlantique,None, Laure GIBERT,,,107 avenue de Rochefort,17200,Royan,,(+33) 5-46-22-19-34,,(+33) 5-46-05-60-34,l.gibert@agglo-royan.fr,https://www.agglo-royan.fr/,https://www.marches-securises.fr,,,,,False,False,,False,False
21-64906,Amiens Métropole,None,,,FRE23,Place de l'hôtel de ville Cedex 1 BP 2720,80027,AMIENS,,,,,amca@amiens-metropole.com,http://www.amiens.fr,http://amiens.fr/marchespublics,http://amiens.fr/marchespublics,http://amiens.fr/marchespublics,http://amiens.fr/marchespublics,,False,True,,False,True
